mnxm	smiles	mnx_name	element	n_atoms	basis	lane
MNXM1090072	CNC1=NC2=C(N1)N=C(N=C2N)O[C@H]1[C@H](O)[C@@H](O)[C@H](CO)[C@@H]1O	N(1)-methylguanosine(9) in tRNA	C	12	LLM curation lane: N(1)-methylguanosine preserves the methylated base and ribose. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR168281).	llm
MNXM1090072	CNC1=NC2=C(N1)N=C(N=C2N)O[C@H]1[C@H](O)[C@@H](O)[C@H](CO)[C@@H]1O	N(1)-methylguanosine(9) in tRNA	N	6	LLM curation lane: N(1)-methylguanosine preserves the methylated base and ribose. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR168281).	llm
MNXM1090111	NC1=NC2=C(N1)N=C(N=C2N)O[C@H]1[C@@H](O)[C@H](O)[C@@H](CO)O1	guanosine(1516) in 16S rRNA	C	10	LLM curation lane: Preserves the guanosine residue chemistry at position 1516 in 16S rRNA. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR168297).	llm
MNXM1090111	NC1=NC2=C(N1)N=C(N=C2N)O[C@H]1[C@@H](O)[C@H](O)[C@@H](CO)O1	guanosine(1516) in 16S rRNA	N	6	LLM curation lane: Preserves the guanosine residue chemistry at position 1516 in 16S rRNA. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR168297).	llm
MNXM1090112	CNC1=NC2=C(N1)N=C(N=C2N)O[C@H]1[C@@H](O)[C@H](O)[C@@H](CO)O1	N(2)-methylguanosine(1516) in 16S rRNA	C	11	LLM curation lane: Preserves the N(2)-methylguanosine residue chemistry at position 1516 in 16S rRNA. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR168297).	llm
MNXM1090112	CNC1=NC2=C(N1)N=C(N=C2N)O[C@H]1[C@@H](O)[C@H](O)[C@@H](CO)O1	N(2)-methylguanosine(1516) in 16S rRNA	N	6	LLM curation lane: Preserves the N(2)-methylguanosine residue chemistry at position 1516 in 16S rRNA. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR168297).	llm
MNXM1090438	NC1=NC(=O)NC(=O)N(C)C1=O	a methylated nucleobase within DNA	C	5	LLM curation lane: 5-methylcytosine preserves the methyl group and demethylation chemistry Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR166646).	llm
MNXM1090438	NC1=NC(=O)NC(=O)N(C)C1=O	a methylated nucleobase within DNA	N	4	LLM curation lane: 5-methylcytosine preserves the methyl group and demethylation chemistry Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR166646).	llm
MNXM1090439	NC1=NC(=O)NC(=O)N(C1=O)	a nucleobase within DNA	C	4	LLM curation lane: cytosine preserves the demethylated nucleobase chemistry Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR166646).	llm
MNXM1090439	NC1=NC(=O)NC(=O)N(C1=O)	a nucleobase within DNA	N	4	LLM curation lane: cytosine preserves the demethylated nucleobase chemistry Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR166646).	llm
MNXM1090689	N[C@@H](CO)C(=O)O	L-seryl-[myosin light chain]	C	3	LLM curation lane: L-serine preserves the phosphorylation site on the protein Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR166183).	llm
MNXM1090689	N[C@@H](CO)C(=O)O	L-seryl-[myosin light chain]	N	1	LLM curation lane: L-serine preserves the phosphorylation site on the protein Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR166183).	llm
MNXM1090690	N[C@@H](COP(=O)(O)O)C(=O)O	O-phospho-L-seryl-[myosin light chain]	C	3	LLM curation lane: O-phospho-L-serine preserves the phosphorylated state of the protein Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR166183).	llm
MNXM1090690	N[C@@H](COP(=O)(O)O)C(=O)O	O-phospho-L-seryl-[myosin light chain]	N	1	LLM curation lane: O-phospho-L-serine preserves the phosphorylated state of the protein Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR166183).	llm
MNXM1090690	N[C@@H](COP(=O)(O)O)C(=O)O	O-phospho-L-seryl-[myosin light chain]	P	1	LLM curation lane: O-phospho-L-serine preserves the phosphorylated state of the protein Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR166183).	llm
MNXM1090770	NC[C@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H](O)[C@H]1O	a 3'-end 2'-deoxyribonucleotide-DNA	C	7	LLM curation lane: Represents the 3'-end of a deoxyribonucleotide-DNA, preserving the phosphate and sugar backbone. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR203365).	llm
MNXM1090770	NC[C@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H](O)[C@H]1O	a 3'-end 2'-deoxyribonucleotide-DNA	N	1	LLM curation lane: Represents the 3'-end of a deoxyribonucleotide-DNA, preserving the phosphate and sugar backbone. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR203365).	llm
MNXM1090770	NC[C@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H](O)[C@H]1O	a 3'-end 2'-deoxyribonucleotide-DNA	P	1	LLM curation lane: Represents the 3'-end of a deoxyribonucleotide-DNA, preserving the phosphate and sugar backbone. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR203365).	llm
MNXM1091048	NC1=NCN(C2=NC=CC2=C1)C[C@H]1O[C@H](C[C@H]2O[C@H](CO)[C@H](O)[C@@H]2O)[C@H](O)[C@@H]1O	adenosine in rRNA	C	18	LLM curation lane: Preserves the adenosine base for methyl transfer chemistry. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR171178).	llm
MNXM1091048	NC1=NCN(C2=NC=CC2=C1)C[C@H]1O[C@H](C[C@H]2O[C@H](CO)[C@H](O)[C@@H]2O)[C@H](O)[C@@H]1O	adenosine in rRNA	N	4	LLM curation lane: Preserves the adenosine base for methyl transfer chemistry. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR171178).	llm
MNXM1091049	NC1=NCN(C2=NC(=CC2=C1)C)C[C@H]1O[C@H](C[C@H]2O[C@H](CO)[C@H](O)[C@@H]2O)[C@H](O)[C@@H]1O	N(6)-methyladenosine in rRNA	C	19	LLM curation lane: Preserves the methylated adenosine product of the reaction. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR171178).	llm
MNXM1091049	NC1=NCN(C2=NC(=CC2=C1)C)C[C@H]1O[C@H](C[C@H]2O[C@H](CO)[C@H](O)[C@@H]2O)[C@H](O)[C@@H]1O	N(6)-methyladenosine in rRNA	N	4	LLM curation lane: Preserves the methylated adenosine product of the reaction. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR171178).	llm
MNXM1091256	CCCCCCCCCCCCC[C@@H](O)CC(=O)SC	(3R)-hydroxytetradecanoyl-[ACP]	C	17	LLM curation lane: Preserves the 3R-hydroxytetradecanoyl thioester chemistry Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR165636).	llm
MNXM1091256	CCCCCCCCCCCCC[C@@H](O)CC(=O)SC	(3R)-hydroxytetradecanoyl-[ACP]	S	1	LLM curation lane: Preserves the 3R-hydroxytetradecanoyl thioester chemistry Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR165636).	llm
MNXM1091285	SC	holo-[ACP]	C	1	LLM curation lane: Preserves the free thiol group of holo-ACP Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR165636).	llm
MNXM1091285	SC	holo-[ACP]	S	1	LLM curation lane: Preserves the free thiol group of holo-ACP Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR165636).	llm
MNXM1091543	CCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCC=CCCCC	1,2-Diacyl-sn-glycerol(18:1(9Z)/16:3(6Z,9Z,12Z))	C	29	LLM curation lane: Preserves acyl chains and glycerol backbone. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR157703).	llm
MNXM1091543	CCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCC=CCCCC	1,2-Diacyl-sn-glycerol(18:1(9Z)/16:3(6Z,9Z,12Z))	N	1	LLM curation lane: Preserves acyl chains and glycerol backbone. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR157703).	llm
MNXM1091543	CCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCC=CCCCC	1,2-Diacyl-sn-glycerol(18:1(9Z)/16:3(6Z,9Z,12Z))	P	1	LLM curation lane: Preserves acyl chains and glycerol backbone. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR157703).	llm
MNXM1091879	CC(=O)Nc1ccc(O)cc1O	3-hydroxy-acetaminophen	C	8	LLM curation lane: preserves acetaminophen scaffold with hydroxyl at position 3 Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR153988).	llm
MNXM1091879	CC(=O)Nc1ccc(O)cc1O	3-hydroxy-acetaminophen	N	1	LLM curation lane: preserves acetaminophen scaffold with hydroxyl at position 3 Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR153988).	llm
MNXM1092315	OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O	Periplasmic O antigen group O:2 polysaccharide with a very long chain length (100 repeat units)	C	12	LLM curation lane: The polymer is a long chain of repeating O-antigen units; one monomer is sufficient to represent the chemistry. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR159897).	llm
MNXM1092394	OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O	Periplasmic O antigen group O:63 polysaccharide with a very long chain length (100 repeat units)	C	12	LLM curation lane: The periplasmic O antigen is a polymer of repeating glucose-like units; one monomer is sufficient to represent the bond/ Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR160082).	llm
MNXM1092689	CCCCCCCCCCCCCCCCC(=O)NC(CCO)C(O)C(N)C(O)CO	N-octadecanoylsphingosine	C	24	LLM curation lane: Preserves the acyl chain and the saturated sphingoid base Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR155784).	llm
MNXM1092689	CCCCCCCCCCCCCCCCC(=O)NC(CCO)C(O)C(N)C(O)CO	N-octadecanoylsphingosine	N	2	LLM curation lane: Preserves the acyl chain and the saturated sphingoid base Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR155784).	llm
MNXM1092850	O[C@H]1[C@H](O)[C@@H](O)[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H]2O)C1=O	1,2-Diacyl-sn-glycerol ditetradecanoyl	C	10	LLM curation lane: Truncated diacylglycerol preserves the glycerol backbone and phosphate attachment site. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR156024).	llm
MNXM1092862	CCCCCCCCCCCCCCCCC(=O)NC(CCO)C(O)C(N)C(O)CO	N-octadecanoylsphinganine	C	24	LLM curation lane: Preserves the acyl chain and the desaturated sphingoid base Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR155784).	llm
MNXM1092862	CCCCCCCCCCCCCCCCC(=O)NC(CCO)C(O)C(N)C(O)CO	N-octadecanoylsphinganine	N	2	LLM curation lane: Preserves the acyl chain and the desaturated sphingoid base Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR155784).	llm
MNXM1092933	O[C@H]1[C@H](O)[C@@H](O)[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H]2O)C1OP(=O)(O)O	1,2-ditetradecanoyl-sn-glycerol 3-phosphate	C	10	LLM curation lane: Truncated phosphatidic acid preserves the glycerol backbone and phosphate chemistry. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR156024).	llm
MNXM1092933	O[C@H]1[C@H](O)[C@@H](O)[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H]2O)C1OP(=O)(O)O	1,2-ditetradecanoyl-sn-glycerol 3-phosphate	P	1	LLM curation lane: Truncated phosphatidic acid preserves the glycerol backbone and phosphate chemistry. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR156024).	llm
MNXM1093375	OCC1OC(CO)C(O)C(O)C1OCC(COP(=O)(O)OCCN)OC(=O)CCCCC=CCCCC	1,2-Diacyl-3-O-galactosyl-sn-glycerol(18:1(9Z)/16:3(6Z,9Z,12Z))	C	23	LLM curation lane: Preserves galactosyl headgroup and acyl chains. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR157703).	llm
MNXM1093375	OCC1OC(CO)C(O)C(O)C1OCC(COP(=O)(O)OCCN)OC(=O)CCCCC=CCCCC	1,2-Diacyl-3-O-galactosyl-sn-glycerol(18:1(9Z)/16:3(6Z,9Z,12Z))	N	1	LLM curation lane: Preserves galactosyl headgroup and acyl chains. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR157703).	llm
MNXM1093375	OCC1OC(CO)C(O)C(O)C1OCC(COP(=O)(O)OCCN)OC(=O)CCCCC=CCCCC	1,2-Diacyl-3-O-galactosyl-sn-glycerol(18:1(9Z)/16:3(6Z,9Z,12Z))	P	1	LLM curation lane: Preserves galactosyl headgroup and acyl chains. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR157703).	llm
MNXM1093459	CC(C)=CCCCC(=O)SC(=O)C(C)(C)C	(2E,4Z,7Z)-octatrienoyl-CoA	C	13	LLM curation lane: Preserves the three double bonds and thioester linkage in the acyl chain. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR155717).	llm
MNXM1093459	CC(C)=CCCCC(=O)SC(=O)C(C)(C)C	(2E,4Z,7Z)-octatrienoyl-CoA	S	1	LLM curation lane: Preserves the three double bonds and thioester linkage in the acyl chain. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR155717).	llm
MNXM1093463	CCC(C)=CCCC(=O)SC(=O)C(C)(C)C	(3E,7Z)-octadienoyl-CoA	C	13	LLM curation lane: Preserves the two double bonds and thioester linkage in the acyl chain. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR155717).	llm
MNXM1093463	CCC(C)=CCCC(=O)SC(=O)C(C)(C)C	(3E,7Z)-octadienoyl-CoA	S	1	LLM curation lane: Preserves the two double bonds and thioester linkage in the acyl chain. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR155717).	llm
MNXM1094352	OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O	Periplasmic O antigen group O:2 repeat unit on undecaprenyl diphosphate carrier	C	12	LLM curation lane: The carrier-bound repeat unit is the same monomer as in the polymer; the carrier is already represented. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR159897).	llm
MNXM1094361	OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O	Cytoplasmic O antigen group O:63 repeat unit on undecaprenyl diphosphate carrier	C	12	LLM curation lane: The cytoplasmic O antigen repeat unit is the same as the periplasmic monomer; the carrier is already represented by und Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR160082).	llm
MNXM1099616	CC(=O)N[C@@H](C(=O)O)C(N)C(=O)O	N-alpha-Benzoyl-DL-arginine	C	6	LLM curation lane: Preserves the acylated arginine core with a benzoyl group. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR172074).	llm
MNXM1099616	CC(=O)N[C@@H](C(=O)O)C(N)C(=O)O	N-alpha-Benzoyl-DL-arginine	N	2	LLM curation lane: Preserves the acylated arginine core with a benzoyl group. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR172074).	llm
MNXM1099617	CC(=O)N[C@@H](C(=O)NC1=CC=C([N+](=O)[O-])C=C1)C(N)C(=O)O	N-alpha-Benzoyl-DL-Arg-p-nitroanilide	C	12	LLM curation lane: Preserves the acylated arginine core with a benzoyl group and a p-nitroaniline ester. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR172074).	llm
MNXM1099617	CC(=O)N[C@@H](C(=O)NC1=CC=C([N+](=O)[O-])C=C1)C(N)C(=O)O	N-alpha-Benzoyl-DL-Arg-p-nitroanilide	N	4	LLM curation lane: Preserves the acylated arginine core with a benzoyl group and a p-nitroaniline ester. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR172074).	llm
MNXM1099954	CC(C)(CO)[C@@H](O)C(=O)O.N[C@H]1C(=O)N(C)C(=O)[C@@H]1CC(=O)NCCC(=O)O	KPR-NADPH-(R)-Pantoate complex	C	16	LLM curation lane: Preserves the NADPH-bound (R)-pantoate complex as a single molecule. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR172494).	llm
MNXM1099954	CC(C)(CO)[C@@H](O)C(=O)O.N[C@H]1C(=O)N(C)C(=O)[C@@H]1CC(=O)NCCC(=O)O	KPR-NADPH-(R)-Pantoate complex	N	3	LLM curation lane: Preserves the NADPH-bound (R)-pantoate complex as a single molecule. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR172494).	llm
MNXM1099955	N[C@H]1C(=O)N(C)C(=O)[C@@H]1CC(=O)NCCC(=O)O	KPR-NADPH complex	C	10	LLM curation lane: Preserves the NADPH portion of the complex. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR172494).	llm
MNXM1099955	N[C@H]1C(=O)N(C)C(=O)[C@@H]1CC(=O)NCCC(=O)O	KPR-NADPH complex	N	3	LLM curation lane: Preserves the NADPH portion of the complex. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR172494).	llm
MNXM1100133	OC[C@H]1OC(O[P](=O)(O)O)[C@H](O)[C@@H](O)[C@@H]1O	Mannose 1-phosphate	C	6	LLM curation lane: Preserves the core sugar and one phosphate group. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR172730).	llm
MNXM1100133	OC[C@H]1OC(O[P](=O)(O)O)[C@H](O)[C@@H](O)[C@@H]1O	Mannose 1-phosphate	P	1	LLM curation lane: Preserves the core sugar and one phosphate group. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR172730).	llm
MNXM1100208	CC(O)C(O)C	threo-2,3-Butanediol	C	4	LLM curation lane: Preserves the carbon skeleton and stereochemistry of threo-2,3-butanediol. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR172876).	llm
MNXM1100216	CC(=O)NC(CS)C(=O)NCCS	Tryptophan 2,3-dioxygenase	C	7	LLM curation lane: Preserves the redox-active thiol groups of the enzyme. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR195341).	llm
MNXM1100216	CC(=O)NC(CS)C(=O)NCCS	Tryptophan 2,3-dioxygenase	N	2	LLM curation lane: Preserves the redox-active thiol groups of the enzyme. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR195341).	llm
MNXM1100216	CC(=O)NC(CS)C(=O)NCCS	Tryptophan 2,3-dioxygenase	S	2	LLM curation lane: Preserves the redox-active thiol groups of the enzyme. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR195341).	llm
MNXM1137179	O[C@H]1[C@H](O)[C@@H](O)[C@H](CO[P](O)(O)=O)[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H]1C(=O)N[C@H](CC1=CC=CC=C1)C(=O)O	Fructosephenylalanine 6-phosphate	C	21	LLM curation lane: Preserves the phosphorylated fructosephenylalanine core with a phosphate on the fructose moiety. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR194746).	llm
MNXM1137179	O[C@H]1[C@H](O)[C@@H](O)[C@H](CO[P](O)(O)=O)[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H]1C(=O)N[C@H](CC1=CC=CC=C1)C(=O)O	Fructosephenylalanine 6-phosphate	N	1	LLM curation lane: Preserves the phosphorylated fructosephenylalanine core with a phosphate on the fructose moiety. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR194746).	llm
MNXM1137179	O[C@H]1[C@H](O)[C@@H](O)[C@H](CO[P](O)(O)=O)[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H]1C(=O)N[C@H](CC1=CC=CC=C1)C(=O)O	Fructosephenylalanine 6-phosphate	P	1	LLM curation lane: Preserves the phosphorylated fructosephenylalanine core with a phosphate on the fructose moiety. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR194746).	llm
MNXM1137180	O[C@H]1[C@H](O)[C@@H](O)[C@H](CO)[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H]1C(=O)N[C@H](CC1=CC=CC=C1)C(=O)O	Fructosephenylalanine	C	21	LLM curation lane: Preserves the dephosphorylated fructosephenylalanine core with the same truncation. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR194746).	llm
MNXM1137180	O[C@H]1[C@H](O)[C@@H](O)[C@H](CO)[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H]1C(=O)N[C@H](CC1=CC=CC=C1)C(=O)O	Fructosephenylalanine	N	1	LLM curation lane: Preserves the dephosphorylated fructosephenylalanine core with the same truncation. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR194746).	llm
MNXM1137629	CC(=O)NC(CS)C(=O)NCCS	Enzyme-ferrous Fe(II) heme-CO complex	C	7	LLM curation lane: Preserves the redox-active thiol groups of the enzyme. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR195341).	llm
MNXM1137629	CC(=O)NC(CS)C(=O)NCCS	Enzyme-ferrous Fe(II) heme-CO complex	N	2	LLM curation lane: Preserves the redox-active thiol groups of the enzyme. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR195341).	llm
MNXM1137629	CC(=O)NC(CS)C(=O)NCCS	Enzyme-ferrous Fe(II) heme-CO complex	S	2	LLM curation lane: Preserves the redox-active thiol groups of the enzyme. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR195341).	llm
MNXM146384	OCC1OC(CO)C(O)C(O)C1OCC(COP(=O)(O)OCCN)OC(=O)CCCCC=CCCCC	Digalactosyldiacylglycerol (1-(9Z)-octadecenoyl,2-(9Z)-hexadecenoyl, 18:1(9Z)/16:1(9Z))	C	23	LLM curation lane: Preserves galactosyl headgroup and acyl chains. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR157703).	llm
MNXM146384	OCC1OC(CO)C(O)C(O)C1OCC(COP(=O)(O)OCCN)OC(=O)CCCCC=CCCCC	Digalactosyldiacylglycerol (1-(9Z)-octadecenoyl,2-(9Z)-hexadecenoyl, 18:1(9Z)/16:1(9Z))	N	1	LLM curation lane: Preserves galactosyl headgroup and acyl chains. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR157703).	llm
MNXM146384	OCC1OC(CO)C(O)C(O)C1OCC(COP(=O)(O)OCCN)OC(=O)CCCCC=CCCCC	Digalactosyldiacylglycerol (1-(9Z)-octadecenoyl,2-(9Z)-hexadecenoyl, 18:1(9Z)/16:1(9Z))	P	1	LLM curation lane: Preserves galactosyl headgroup and acyl chains. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR157703).	llm
MNXM146437	C[C@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O	1-Phosphatidyl-1D-myo-inositol 4-phosphate (homo sapiens, C18:1, C18:2)	C	13	LLM curation lane: Preserves the inositol phosphate headgroup and inert acyl chains Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR102757).	llm
MNXM146437	C[C@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O	1-Phosphatidyl-1D-myo-inositol 4-phosphate (homo sapiens, C18:1, C18:2)	P	1	LLM curation lane: Preserves the inositol phosphate headgroup and inert acyl chains Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR102757).	llm
