mnxr	stratum	verdict	detail	prompt_tokens	completion_tokens
MNXR153302	control	preserved		2926	147
MNXR153056	control	preserved		2964	143
MNXR121017	control	preserved		2935	130
MNXR122423	control	preserved		3030	139
MNXR169045	control	preserved		2714	123
MNXR183236	control	preserved		2839	145
MNXR119805	control	preserved		3071	163
MNXR199518	control	preserved		2916	169
MNXR200651	control	preserved		3352	163
MNXR167524	control	preserved		2907	142
MNXR164845	control	preserved		3036	140
MNXR141390	control	preserved		2724	125
MNXR205401	control	preserved		2964	137
MNXR203255	control	preserved		3000	153
MNXR167134	control	preserved		2986	137
MNXR124031	control	preserved		2810	133
MNXR193876	control	preserved		2810	133
MNXR152865	control	preserved		2789	144
MNXR186495	control	preserved		3169	165
MNXR138201	control	preserved		3033	153
MNXR185546	control	preserved		2763	138
MNXR199919	control	preserved		2925	138
MNXR133044	control	preserved		3000	153
MNXR114891	control	preserved		2922	127
MNXR119114	control	preserved		2910	143
MNXR152963	control	preserved		2938	114
MNXR176325	control	preserved		3121	149
MNXR115911	control	preserved		3081	130
MNXR203369	control	preserved		2912	141
MNXR193955	control	preserved		3265	157
MNXR196929	control	preserved		3118	180
MNXR187010	control	preserved		2826	146
MNXR133473	control	preserved		2975	145
MNXR103383	control	preserved		2965	161
MNXR175676	control	preserved		3120	215
MNXR165129	control	preserved		3095	169
MNXR94922	control	preserved		2716	122
MNXR119747	control	preserved		3076	182
MNXR155156	control	preserved		2810	133
MNXR157518	control	preserved		2740	136
MNXR150597	control	preserved		2986	151
MNXR175805	control	preserved		3076	146
MNXR197673	control	preserved		3208	144
MNXR114064	control	preserved		2991	134
MNXR150738	control	preserved		2959	168
MNXR168342	control	preserved		2980	141
MNXR194609	control	preserved		3260	154
MNXR147919	control	preserved		2848	131
MNXR202745	control	preserved		2957	141
MNXR153567	control	preserved		2810	133
MNXR145135	control	preserved		2839	149
MNXR185582	control	preserved		3088	181
MNXR200118	control	preserved		2904	168
MNXR200857	control	preserved		3309	216
MNXR200036	control	preserved		2838	166
MNXR112469	control	preserved		3052	149
MNXR199757	control	preserved		3059	169
MNXR115065	control	preserved		2996	138
MNXR120701	control	preserved		3384	252
MNXR130072	control	preserved		3002	144
MNXR169576	control	preserved		2770	122
MNXR174721	control	preserved		2810	133
MNXR99220	control	preserved		3594	244
MNXR181033	control	preserved		2923	121
MNXR205335	control	preserved		2828	135
MNXR120133	control	preserved		2993	142
MNXR188511	control	preserved		2825	138
MNXR193208	control	preserved		2905	168
MNXR173152	control	preserved		2991	139
MNXR158985	control	preserved		2777	128
MNXR113938	control	preserved		3171	152
MNXR175643	control	preserved		2750	124
MNXR112366	control	preserved		2747	121
MNXR169913	control	preserved		2912	135
MNXR116715	control	preserved		3129	162
MNXR135189	control	preserved		2962	162
MNXR119888	control	preserved		2989	154
MNXR196393	control	preserved		2817	131
MNXR153283	control	preserved		3030	173
MNXR202285	control	preserved		2967	153
MNXR105277	control	preserved		2810	132
MNXR206611	control	preserved		2766	124
MNXR120914	control	preserved		2742	149
MNXR193000	control	preserved		2909	140
MNXR193451	control	preserved		3155	168
MNXR116526	control	preserved		2818	142
MNXR120813	control	preserved		3285	155
MNXR202798	control	preserved		2833	168
MNXR153400	control	preserved		2745	125
MNXR163142	control	preserved		2774	123
MNXR198128	control	preserved		2774	125
MNXR182869	control	preserved		2774	128
MNXR123163	control	preserved		2823	135
MNXR181277	control	preserved		2931	126
MNXR158362	control	preserved		2893	141
MNXR182427	control	preserved		2987	141
MNXR151890	control	preserved		2997	144
MNXR196544	control	preserved		2789	145
MNXR148705	control	preserved		2922	148
MNXR168696	control	preserved		2986	143
MNXR121122	control	preserved		2791	125
MNXR190684	control	preserved		2894	120
MNXR158718	control	preserved		3191	155
MNXR185674	control	preserved		2930	122
MNXR202566	control	preserved		2994	145
MNXR182935	control	preserved		2780	126
MNXR149127	control	preserved		3171	138
MNXR166813	control	preserved		2796	128
MNXR196338	control	preserved		3067	154
