qseqid	busco_sseqid	busco_pident	busco_evalue	species_id	taxonomy
NC_000913.3_512	9791908at2_83333_0:000142	100.0	1.8e-89	83333	escherichia_coli_k-12
NC_000913.3_515	9810191at2_1329796_0:0008df	31.1	2.3e-6	1329796	risungbinella_massiliensis
NC_000913.3_560	9804464at2_148814_2:0001c2	39.9	1e-39	148814	apilactobacillus_kunkeei
NC_000913.3_616	9811804at2_29354_0:000c72	67.7	3.4e-18	29354	lacrimispora_celerecrescens
NC_000913.3_627	9808936at2_1889813_0:0008cf	31.1	3.7e-23	1889813	anaerolineaceae_bacterium_oral_taxon_439
NC_000913.3_630	9793681at2_83333_0:000cf2	100.0	5.7e-54	83333	escherichia_coli_k-12
NC_000913.3_635	9810191at2_1497955_0:000039	31.8	7.5e-19	1497955	amygdalobacter_nucleatus
NC_000913.3_656	9801213at2_195105_0:000925	27.7	2.5e-39	195105	haematobacter_massiliensis
NC_000913.3_756	9806651at2_83333_0:000c24	100.0	0.0	83333	escherichia_coli_k-12
NC_000913.3_829	9807240at2_2488860_0:00038f	30.5	0.00011	2488860	aurantiacibacter_spongiae
NC_000913.3_857	9811804at2_29354_0:000c72	50.7	1.8e-14	29354	lacrimispora_celerecrescens
NC_000913.3_859	9776390at2_487796_0:0000f7	22.7	0.000093	487796	flavobacteria_bacterium_ms024-2a
NC_000913.3_860	9803250at2_1005999_0:00035c	97.2	5.4e-35	1005999	leminorella_grimontii_atcc_33999_=_dsm_5078
NC_000913.3_868	9778364at2_83333_0:000705	100.0	4.5e-257	83333	escherichia_coli_k-12
NC_000913.3_869	9804647at2_83333_0:000933	100.0	1.3e-237	83333	escherichia_coli_k-12
NC_000913.3_886	9803667at2_1793724_0:0006af	35.2	1.3e-26	1793724	dictyoglomus_sp._ob1-4
NC_000913.3_887	9804305at2_1915315_0:000bd2	30.3	2.2e-11	1915315	thioclava_sp._f28-4
NC_000913.3_924	9803017at2_2234133_0:0003e6	29.5	0.00033	2234133	algibacillus_agarilyticus
NC_000913.3_939	9812943at2_373903_0:000228	50.0	1e-27	373903	halothermothrix_orenii_h_168
NC_000913.3_943	9803017at2_941824_0:000482	28.2	8.7e-7	941824	thermobrachium_celere_dsm_8682
NC_000913.3_966	9811804at2_29354_0:000c72	53.1	4.3e-13	29354	lacrimispora_celerecrescens
NC_000913.3_1019	9778364at2_126741_0:00046f	43.7	2.1e-32	126741	thermotoga_sp._kol6
NC_000913.3_1058	9804933at2_148814_2:000445	32.7	3.5e-22	148814	apilactobacillus_kunkeei
NC_000913.3_1086	9806651at2_676208_0:0002e7	42.0	2e-83	676208	candidatus_rickettsiella_viridis
NC_000913.3_1102	9804464at2_148814_2:0001c2	32.1	5.1e-28	148814	apilactobacillus_kunkeei
NC_000913.3_1105	9800696at2_83333_0:0006ef	100.0	3e-219	83333	escherichia_coli_k-12
NC_000913.3_1174	9812272at2_204669_0:00030a	48.4	3.6e-7	204669	candidatus_koribacter_versatilis_ellin345
NC_000913.3_1175	9800507at2_83333_0:000a72	100.0	5.5e-111	83333	escherichia_coli_k-12
NC_000913.3_1179	9814755at2_2051957_0:000333	32.6	2.3e-25	2051957	rubrobacter_indicoceani
NC_000913.3_1195	9804933at2_2053669_0:00059f	29.1	1e-17	2053669	cobetia_sp._icg0124
NC_000913.3_1204	9802065at2_1965591_0:0001a5	30.7	3.2e-19	1965591	cloacibacillus_sp._an23
NC_000913.3_1237	9802219at2_331113_0:00061f	41.0	9.6e-33	331113	simkania_negevensis_z
NC_000913.3_1274	9802219at2_765952_0:00070c	33.6	3.9e-24	765952	parachlamydia_acanthamoebae_uv-7
NC_000913.3_1528	9811804at2_29354_0:000c72	56.2	5.1e-14	29354	lacrimispora_celerecrescens
NC_000913.3_1534	9811804at2_29354_0:000c72	60.6	1.8e-14	29354	lacrimispora_celerecrescens
NC_000913.3_1615	9804243at2_83333_0:000404	100.0	1.2e-248	83333	escherichia_coli_k-12
NC_000913.3_1691	9805455at2_83333_0:000308	100.0	0.0	83333	escherichia_coli_k-12
NC_000913.3_1692	9800719at2_83333_0:000ac5	100.0	2.5e-188	83333	escherichia_coli_k-12
NC_000913.3_1693	9808966at2_1395119_0:000816	99.2	9e-56	1395119	salmonella_enterica_subsp._arizonae_serovar_18:z4,z23:-_str._cvm_n26626
NC_000913.3_1695	9806014at2_1384589_0:0001a4	98.6	4.4e-73	1384589	entomohabitans_teleogrylli
NC_000913.3_1696	9802304at2_83333_0:0008bf	100.0	0.0	83333	escherichia_coli_k-12
NC_000913.3_1719	9804933at2_1806508_0:0004ec	32.4	6e-16	1806508	candidatus_promineifilum_breve
NC_000913.3_1784	9806197at2_1383_0:0004dd	34.0	5.7e-22	1383	lancefieldella_rimae
NC_000913.3_1800	9811804at2_29354_0:000c72	64.6	9.8e-18	29354	lacrimispora_celerecrescens
NC_000913.3_1838	9804478at2_83333_0:000193	100.0	4.6e-190	83333	escherichia_coli_k-12
NC_000913.3_1839	5293449at2_83333_0:000699	100.0	4.6e-108	83333	escherichia_coli_k-12
NC_000913.3_1842	9781053at2_1395119_0:000a58	98.8	4.1e-135	1395119	salmonella_enterica_subsp._arizonae_serovar_18:z4,z23:-_str._cvm_n26626
NC_000913.3_1887	9804933at2_83333_0:000a02	100.0	0.0	83333	escherichia_coli_k-12
NC_000913.3_1888	9804933at2_2053669_0:00059f	49.3	2e-53	2053669	cobetia_sp._icg0124
NC_000913.3_1940	9804464at2_148814_2:0001c2	41.4	2.3e-43	148814	apilactobacillus_kunkeei
NC_000913.3_1952	9781053at2_83333_0:000e3a	100.0	6.5e-130	83333	escherichia_coli_k-12
NC_000913.3_1957	9809796at2_429133_0:000b57	36.8	1.2e-7	429133	modestobacter_versicolor
NC_000913.3_1988	9802219at2_1796921_0:0003e0	30.4	3.7e-6	1796921	ereboglobus_luteus
NC_000913.3_2046	9804933at2_2053669_0:00059f	30.6	7.8e-6	2053669	cobetia_sp._icg0124
NC_000913.3_2080	9810191at2_83333_0:000c49	100.0	0.0	83333	escherichia_coli_k-12
NC_000913.3_2159	9804933at2_2053669_0:00059f	30.1	1.7e-20	2053669	cobetia_sp._icg0124
NC_000913.3_2187	9804933at2_2053669_0:00059f	34.7	6.9e-11	2053669	cobetia_sp._icg0124
NC_000913.3_2267	9808773at2_148814_2:000396	42.5	4.3e-60	148814	apilactobacillus_kunkeei
NC_000913.3_2269	9814755at2_748857_0:000546	28.9	2.1e-11	748857	roseimicrobium_gellanilyticum
NC_000913.3_2281	9802554at2_515440_0:000662	36.3	6.5e-32	515440	oceanotoga_teriensis
NC_000913.3_2282	9801213at2_83333_0:000818	100.0	2.6e-293	83333	escherichia_coli_k-12
NC_000913.3_2285	9809356at2_83333_0:0007f8	100.0	7.7e-243	83333	escherichia_coli_k-12
NC_000913.3_2299	9771806at2_83333_0:001062	100.0	1.1e-208	83333	escherichia_coli_k-12
NC_000913.3_2338	9804933at2_2053669_0:00059f	27.1	3.6e-20	2053669	cobetia_sp._icg0124
NC_000913.3_2367	9807019at2_148814_2:000518	33.9	6.5e-81	148814	apilactobacillus_kunkeei
NC_000913.3_2375	9759736at2_83333_0:00071d	100.0	0.0	83333	escherichia_coli_k-12
NC_000913.3_2422	9808773at2_148814_2:000396	37.5	9.4e-50	148814	apilactobacillus_kunkeei
NC_000913.3_2441	9801549at2_83333_0:000601	100.0	1.5e-134	83333	escherichia_coli_k-12
NC_000913.3_2459	9801549at2_1123393_0:0003a1	27.2	4.9e-17	1123393	thiobacillus_thioparus_dsm_505
NC_000913.3_2462	9807019at2_1314748_0:0009d9	29.7	1.2e-17	1314748	alicyclobacillus_mali_nbrc_102425
NC_000913.3_2465	9807240at2_229920_0:000a53	45.7	3.9e-83	229920	leptolinea_tardivitalis
NC_000913.3_2466	9802065at2_1871034_0:00068b	40.2	5.6e-32	1871034	vaginimicrobium_propionicum
NC_000913.3_2474	9802219at2_1395119_0:00089b	98.1	5.3e-310	1395119	salmonella_enterica_subsp._arizonae_serovar_18:z4,z23:-_str._cvm_n26626
NC_000913.3_2478	9812272at2_1592106_0:0010ab	30.8	2e-8	1592106	terriglobus_albidus
NC_000913.3_2521	9804933at2_2053669_0:00059f	28.6	0.00012	2053669	cobetia_sp._icg0124
NC_000913.3_2533	9812272at2_1069448_0:00092a	28.6	0.00024	1069448	nitriliruptor_alkaliphilus_dsm_45188
NC_000913.3_2534	9805026at2_83333_0:000bdc	100.0	2.7e-125	83333	escherichia_coli_k-12
NC_000913.3_2536	9811804at2_77098_0:000302	31.4	1.9e-21	77098	halomonas_pacifica
NC_000913.3_2543	9806651at2_1917873_0:0009d2	28.9	0.00012	1917873	pygmaiobacter_massiliensis
NC_000913.3_2557	9778364at2_1325335_0:000917	32.7	9.2e-9	1325335	anoxybacillus_suryakundensis
NC_000913.3_2559	9804933at2_148814_2:000445	30.5	2.7e-25	148814	apilactobacillus_kunkeei
NC_000913.3_2569	9803541at2_413501_0:0000fd	98.3	2.1e-57	413501	cronobacter_muytjensii
NC_000913.3_2570	9807416at2_379893_0:000823	98.0	4.5e-145	379893	trabulsiella_odontotermitis
NC_000913.3_2572	9807878at2_83333_0:000fd9	100.0	9.7e-41	83333	escherichia_coli_k-12
NC_000913.3_2573	9806379at2_148814_2:0001b9	35.0	4.7e-36	148814	apilactobacillus_kunkeei
NC_000913.3_2578	9806954at2_83333_0:00046f	100.0	6.6e-311	83333	escherichia_coli_k-12
NC_000913.3_2581	9801549at2_752179_0:0001d0	29.3	7.7e-12	752179	occidentia_massiliensis
NC_000913.3_2582	9805462at2_83333_0:000a94	100.0	3.2e-88	83333	escherichia_coli_k-12
NC_000913.3_2593	9812272at2_1224744_0:000a99	34.9	0.000035	1224744	methylococcus_capsulatus_str._texas_=_atcc_19069
NC_000913.3_2648	9803884at2_83333_0:00015b	100.0	0.0	83333	escherichia_coli_k-12
NC_000913.3_2650	9776733at2_1395119_0:000f12	97.5	3.4e-191	1395119	salmonella_enterica_subsp._arizonae_serovar_18:z4,z23:-_str._cvm_n26626
NC_000913.3_2696	9804647at2_2320859_0:000d18	38.7	3.2e-34	2320859	oleomonas_cavernae
NC_000913.3_2698	9807416at2_2496102_0:000494	46.8	4.6e-31	2496102	cyanobiont_of_ornithocercus_magnificus
NC_000913.3_2703	9811804at2_84725_0:000c7e	30.1	1.3e-7	84725	umezawaea_tangerina
NC_000913.3_2731	9804716at2_83333_0:001058	100.0	8.2e-240	83333	escherichia_coli_k-12
NC_000913.3_2732	9801107at2_83333_0:000363	100.0	0.0	83333	escherichia_coli_k-12
NC_000913.3_2743	9804933at2_148814_2:000445	30.0	7.6e-15	148814	apilactobacillus_kunkeei
NC_000913.3_2896	9804072at2_83333_0:000daa	100.0	9.2e-129	83333	escherichia_coli_k-12
NC_000913.3_2967	9804464at2_148814_2:0001c2	33.3	6.8e-33	148814	apilactobacillus_kunkeei
NC_000913.3_3000	9812273at2_936375_0:000579	41.5	1.1e-24	936375	mogibacterium_sp._cm50
NC_000913.3_3005	9806197at2_83333_0:000995	100.0	2.9e-192	83333	escherichia_coli_k-12
NC_000913.3_3007	9803773at2_83333_0:000b11	100.0	0.0	83333	escherichia_coli_k-12
NC_000913.3_3014	9810191at2_1121328_0:000613	43.5	4.3e-20	1121328	[clostridium]_paradoxum_jw-yl-7_=_dsm_7308
NC_000913.3_3081	9809084at2_83333_0:001063	100.0	4.7e-159	83333	escherichia_coli_k-12
NC_000913.3_3099	9804305at2_83333_0:0005e3	100.0	0.0	83333	escherichia_coli_k-12
NC_000913.3_3100	9799262at2_83333_0:0009f6	100.0	1.9e-42	83333	escherichia_coli_k-12
NC_000913.3_3101	9802309at2_83333_0:000df9	100.0	7.6e-179	83333	escherichia_coli_k-12
NC_000913.3_3103	9811804at2_83333_0:00042e	100.0	0.0	83333	escherichia_coli_k-12
NC_000913.3_3104	9807233at2_83333_0:000018	100.0	4e-275	83333	escherichia_coli_k-12
NC_000913.3_3111	9804478at2_2294115_0:000e3b	40.4	1.8e-41	2294115	flexivirga_caeni
NC_000913.3_3116	9812272at2_768670_0:000054	29.9	9.3e-9	768670	calditerrivibrio_nitroreducens_dsm_19672
NC_000913.3_3118	9803474at2_83333_0:00100e	100.0	3.1e-42	83333	escherichia_coli_k-12
NC_000913.3_3119	9813334at2_1115515_0:000b4b	97.1	2.4e-52	1115515	pseudescherichia_vulneris_nbrc_102420
NC_000913.3_3143	9804464at2_148814_2:0001c2	25.0	1.3e-6	148814	apilactobacillus_kunkeei
NC_000913.3_3164	9803965at2_160434_0:0003b5	99.2	2.4e-65	160434	samsonia_erythrinae
NC_000913.3_3165	9801330at2_1115515_0:000a1a	99.3	9.1e-79	1115515	pseudescherichia_vulneris_nbrc_102420
NC_000913.3_3168	9782003at2_86106_0:00001c	30.3	0.000043	86106	endosymbiont_of_acanthamoeba_sp._uwc8
NC_000913.3_3169	9782003at2_1707952_0:000c61	37.9	0.000074	1707952	chloroflexus_islandicus
NC_000913.3_3188	9807240at2_2292766_0:0003fb	29.5	2.9e-6	2292766	persicimonas_caeni
NC_000913.3_3223	9809073at2_1115515_0:000042	98.4	5.3e-62	1115515	pseudescherichia_vulneris_nbrc_102420
NC_000913.3_3224	9805706at2_1354267_0:0001c1	98.8	2.7e-182	1354267	moellerella_wisconsensis_atcc_35017
NC_000913.3_3225	9803672at2_413501_0:000965	99.0	1.3e-110	413501	cronobacter_muytjensii
NC_000913.3_3226	9806415at2_1082704_0:00074b	98.4	1.3e-68	1082704	lonsdalea_britannica
NC_000913.3_3227	9803610at2_1755099_0:0003d6	97.5	2.1e-57	1755099	pseudenterobacter_timonensis
NC_000913.3_3229	9809248at2_83655_1:000650	99.1	2.8e-243	83655	leclercia_adecarboxylata
NC_000913.3_3230	9810293at2_1395119_0:000e48	99.3	5.1e-61	1395119	salmonella_enterica_subsp._arizonae_serovar_18:z4,z23:-_str._cvm_n26626
NC_000913.3_3232	9809045at2_1115515_0:00005e	98.8	1.8e-86	1115515	pseudescherichia_vulneris_nbrc_102420
NC_000913.3_3233	9810939at2_1115515_0:000047	91.5	2.6e-47	1115515	pseudescherichia_vulneris_nbrc_102420
NC_000913.3_3234	9805007at2_83333_0:000fe5	100.0	7.8e-96	83333	escherichia_coli_k-12
NC_000913.3_3235	9802617at2_2022662_0:000c3c	98.5	1.4e-65	2022662	superficieibacter_electus
NC_000913.3_3237	9806626at2_1334193_0:000280	100.0	6.4e-98	1334193	[enterobacter]_lignolyticus
NC_000913.3_3238	9807419at2_1398493_0:0011be	98.1	2.6e-51	1398493	pseudocitrobacter_faecalis
NC_000913.3_3239	9806379at2_1082704_0:00001c	98.4	2.7e-63	1082704	lonsdalea_britannica
NC_000913.3_3240	9811714at2_1334193_0:0005dd	100.0	3.1e-42	1334193	[enterobacter]_lignolyticus
NC_000913.3_3241	9803474at2_148814_2:000291	43.3	7.8e-6	148814	apilactobacillus_kunkeei
NC_000913.3_3242	9802589at2_1441930_0:0001d4	97.8	1.5e-70	1441930	chania_multitudinisentens_rb-25
NC_000913.3_3243	9806396at2_1384589_0:001262	100.0	2.3e-127	1384589	entomohabitans_teleogrylli
NC_000913.3_3244	9805969at2_1005995_0:000153	98.2	5.1e-53	1005995	tatumella_ptyseos_atcc_33301
NC_000913.3_3245	9797833at2_1267021_0:000808	98.9	4.1e-48	1267021	frischella_perrara
NC_000913.3_3246	9778722at2_1115515_0:00005d	98.9	1.5e-154	1115515	pseudescherichia_vulneris_nbrc_102420
NC_000913.3_3248	9803201at2_1134687_1:0010ce	99.5	1.2e-103	1134687	klebsiella_michiganensis
NC_000913.3_3249	9806135at2_1334193_0:0000f0	98.6	7e-112	1334193	[enterobacter]_lignolyticus
NC_000913.3_3250	9804464at2_1005995_0:000139	98.1	3.8e-50	1005995	tatumella_ptyseos_atcc_33301
NC_000913.3_3268	9811804at2_2162714_0:0005a9	77.7	3.4e-176	2162714	hyphobacterium_indicum
NC_000913.3_3269	9811804at2_1384509_0:0002e9	28.8	3.4e-9	1384509	streptobacillus_felis
NC_000913.3_3270	9807653at2_83333_0:00074a	100.0	3.7e-93	83333	escherichia_coli_k-12
NC_000913.3_3271	9802366at2_1134687_1:00106d	99.2	2.7e-66	1134687	klebsiella_michiganensis
NC_000913.3_3290	9802219at2_264201_0:000005	56.7	1.1e-58	264201	candidatus_protochlamydia_amoebophila_uwe25
NC_000913.3_3334	9804464at2_148814_2:0001c2	35.0	3.4e-30	148814	apilactobacillus_kunkeei
NC_000913.3_3336	9804305at2_2006110_0:0006f0	54.7	9.4e-13	2006110	luteimonas_chenhongjianii
NC_000913.3_3338	9812272at2_2371_0:00043d	27.1	5e-6	2371	xylella_fastidiosa
NC_000913.3_3392	9806379at2_148814_2:0001b9	41.9	8.6e-68	148814	apilactobacillus_kunkeei
NC_000913.3_3393	9803017at2_83333_0:00039a	100.0	1.9e-111	83333	escherichia_coli_k-12
NC_000913.3_3397	9806637at2_148814_2:000459	28.9	2.3e-53	148814	apilactobacillus_kunkeei
NC_000913.3_3487	9811804at2_29354_0:000c72	60.9	6e-15	29354	lacrimispora_celerecrescens
NC_000913.3_3524	9811804at2_1122607_0:0009b5	34.4	1.2e-18	1122607	nisaea_denitrificans_dsm_18348
NC_000913.3_3543	9812273at2_83333_0:0003ba	100.0	7.2e-191	83333	escherichia_coli_k-12
NC_000913.3_3569	9806661at2_83333_0:0001af	100.0	6.6e-86	83333	escherichia_coli_k-12
NC_000913.3_3572	9805609at2_1115515_0:000430	98.7	1.9e-38	1115515	pseudescherichia_vulneris_nbrc_102420
NC_000913.3_3574	9802554at2_83333_0:0005ef	100.0	2e-227	83333	escherichia_coli_k-12
NC_000913.3_3575	9802554at2_1485952_0:000cc3	90.0	3.5e-76	1485952	phytobacter_massiliensis
NC_000913.3_3578	9804305at2_620903_0:00014d	26.7	6.7e-7	620903	negativicoccus_succinicivorans
NC_000913.3_3582	9759736at2_290338_0:000162	68.8	4.4e-246	290338	citrobacter_koseri_atcc_baa-895
NC_000913.3_3583	9808150at2_83333_0:0005c6	100.0	4.3e-114	83333	escherichia_coli_k-12
NC_000913.3_3636	9806954at2_207608_0:0005aa	40.8	0.00013	207608	microbacteriaceae_bacterium_mwh-ta3
NC_000913.3_3638	9807019at2_83333_0:000de9	100.0	5e-267	83333	escherichia_coli_k-12
NC_000913.3_3642	9812272at2_1891644_0:000d1b	32.8	1.5e-10	1891644	epidermidibacterium_keratini
NC_000913.3_3664	9801213at2_1294270_0:000c4c	30.5	2.4e-19	1294270	melittangium_boletus_dsm_14713
NC_000913.3_3668	9812769at2_83333_0:000b2a	100.0	1.5e-157	83333	escherichia_coli_k-12
NC_000913.3_3673	9802589at2_148814_2:0001c8	28.8	3.7e-12	148814	apilactobacillus_kunkeei
NC_000913.3_3675	9808773at2_83333_0:000c01	100.0	2.7e-116	83333	escherichia_coli_k-12
NC_000913.3_3733	9776390at2_686624_0:00056b	34.3	9.7e-29	686624	tessaracoccus_oleiagri
NC_000913.3_3763	9809075at2_442899_0:00033e	22.8	0.00049	442899	halolactibacillus_alkaliphilus
NC_000913.3_3782	9812272at2_591198_0:000198	39.4	8.5e-25	591198	euzebya_tangerina
NC_000913.3_3786	9804933at2_2053669_0:00059f	29.8	9.5e-8	2053669	cobetia_sp._icg0124
NC_000913.3_3789	9811804at2_568099_0:0009de	32.3	2.6e-26	568099	litorimonas_taeanensis
NC_000913.3_3803	9803667at2_1602169_0:0004c3	25.7	1e-11	1602169	prevotella_pectinovora
NC_000913.3_3833	9804464at2_148814_2:0001c2	37.2	1.7e-34	148814	apilactobacillus_kunkeei
NC_000913.3_3890	9804753at2_83333_0:000d04	100.0	5.7e-204	83333	escherichia_coli_k-12
NC_000913.3_3891	9807064at2_83333_0:0003b6	100.0	3.1e-183	83333	escherichia_coli_k-12
NC_000913.3_3893	9811804at2_2162714_0:0005a9	77.7	3.4e-176	2162714	hyphobacterium_indicum
NC_000913.3_3895	9809075at2_1134687_1:00062b	98.3	1.4e-100	1134687	klebsiella_michiganensis
NC_000913.3_3896	9802408at2_290338_0:000b36	99.3	3.7e-72	290338	citrobacter_koseri_atcc_baa-895
NC_000913.3_3897	9803740at2_2022662_0:000bd9	98.3	2.1e-120	2022662	superficieibacter_electus
NC_000913.3_3899	9811748at2_83333_0:00045c	100.0	2.1e-52	83333	escherichia_coli_k-12
NC_000913.3_3900	9803954at2_1334193_0:0002f9	98.1	0.0	1334193	[enterobacter]_lignolyticus
NC_000913.3_3901	9815296at2_83333_0:000b56	100.0	0.0	83333	escherichia_coli_k-12
NC_000913.3_3919	9807240at2_83333_0:000da9	100.0	5.4e-252	83333	escherichia_coli_k-12
NC_000913.3_3920	9802065at2_83333_0:0005f9	100.0	1.9e-302	83333	escherichia_coli_k-12
NC_000913.3_3924	9807416at2_1380370_0:000987	30.6	0.00034	1380370	intrasporangiaceae_bacterium_urhb0013
NC_000913.3_4012	9808150at2_1852021_0:000758	31.5	7.1e-7	1852021	parahaliea_aestuarii
NC_000913.3_4031	9804464at2_148814_2:0001c2	36.9	1.3e-34	148814	apilactobacillus_kunkeei
NC_000913.3_4085	9806197at2_866774_0:0002aa	38.3	1.1e-18	866774	fannyhessea_vaginae_pb189-t1-4
NC_000913.3_4088	9776390at2_83333_0:000d00	100.0	1.7e-178	83333	escherichia_coli_k-12
NC_000913.3_4090	9812272at2_83333_0:000580	100.0	1.1e-239	83333	escherichia_coli_k-12
NC_000913.3_4094	9807553at2_83333_0:00064a	100.0	7.1e-252	83333	escherichia_coli_k-12
NC_000913.3_4117	9812702at2_1395119_0:000d0f	99.2	1.3e-68	1395119	salmonella_enterica_subsp._arizonae_serovar_18:z4,z23:-_str._cvm_n26626
NC_000913.3_4119	9812008at2_1005995_0:00038f	100.0	1.7e-36	1005995	tatumella_ptyseos_atcc_33301
NC_000913.3_4120	9788336at2_83333_0:000f29	100.0	1.6e-73	83333	escherichia_coli_k-12
NC_000913.3_4148	9809796at2_756067_0:0005e2	26.9	1.2e-12	756067	microcoleus_vaginatus_fgp-2
NC_000913.3_4157	9806637at2_148814_2:000459	27.6	8.7e-10	148814	apilactobacillus_kunkeei
NC_000913.3_4170	9810191at2_580340_0:000184	23.9	2e-12	580340	thermovirga_lienii_dsm_17291
NC_000913.3_4180	9776390at2_754435_0:0006a6	39.6	6.2e-27	754435	aureicoccus_marinus
NC_000913.3_4288	9806197at2_1965585_0:000404	35.6	1.7e-11	1965585	collinsella_sp._an2
NC_000913.3_4290	9811804at2_542_0:0002ef	35.2	5.9e-6	542	zymomonas_mobilis
