# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	ncRNA	244132	244209	+	KOIAIB_0024	74.2	7.1e-11	-	-	-	RFAM:RF02564
contig_1	ncRNA	247461	247538	+	KOIAIB_0025	73.4	9.7e-11	-	-	-	RFAM:RF02564
contig_1	ncRNA	248203	248280	+	KOIAIB_0026	77.1	2.1e-11	-	-	-	RFAM:RF02564
contig_1	tRNA	262871	262946	+	KOIAIB_0027	85.1	-	-	-	-	-
contig_1	tRNA	297184	297254	+	KOIAIB_0028	44.2	-	-	-	-	-
contig_1	ncRNA	303611	303810	+	KOIAIB_0029	202.4	3.6e-26	-	-	-	RFAM:RF02111
contig_1	ncRNA	339811	339880	-	KOIAIB_0030	77.5	1.7e-11	-	-	-	RFAM:RF02564
contig_1	ncRNA	339904	339973	-	KOIAIB_0031	71.8	1.9e-10	-	-	-	RFAM:RF02564
contig_1	ncRNA	339997	340066	-	KOIAIB_0032	77.5	1.7e-11	-	-	-	RFAM:RF02564
contig_1	ncRNA	349752	349823	+	KOIAIB_0033	63.0	7.6e-09	-	-	-	RFAM:RF02564
contig_1	ncRNA	349845	349916	+	KOIAIB_0034	63.0	7.6e-09	-	-	-	RFAM:RF02564
contig_1	ncRNA	354690	354766	+	KOIAIB_0035	71.7	2.0e-10	-	-	-	RFAM:RF02564
contig_1	ncRNA	374984	375061	-	KOIAIB_0036	79.3	8.0e-12	-	-	-	RFAM:RF02564
contig_1	ncRNA	375085	375162	-	KOIAIB_0037	85.0	7.4e-13	-	-	-	RFAM:RF02564
contig_1	ncRNA	375085	375162	+	KOIAIB_0038	62.4	9.7e-09	-	-	-	RFAM:RF02564
contig_1	ncRNA	375186	375263	-	KOIAIB_0039	87.2	2.9e-13	-	-	-	RFAM:RF02564
contig_1	ncRNA	375186	375263	+	KOIAIB_0040	61.5	1.4e-08	-	-	-	RFAM:RF02564
contig_1	ncRNA	375287	375362	-	KOIAIB_0041	62.8	8.1e-09	-	-	-	RFAM:RF02564
contig_1	ncRNA	377391	377468	+	KOIAIB_0042	79.7	7.0e-12	-	-	-	RFAM:RF02564
contig_1	ncRNA	411134	411213	+	KOIAIB_0043	79.8	6.7e-12	-	-	-	RFAM:RF02564
contig_1	ncRNA	458721	458816	-	KOIAIB_0044	106.8	3.5e-17	-	-	-	RFAM:RF02029
contig_1	ncRNA	476456	476552	+	KOIAIB_0045	67.7	3.4e-11	-	-	-	RFAM:RF00169
contig_1	ncRNA-region	493356	493420	+	-	96.9	1.1e-16	-	-	-	RFAM:RF00382
contig_1	ncRNA	501447	501524	+	KOIAIB_0046	74.3	6.6e-11	-	-	-	RFAM:RF02564
contig_1	ncRNA	507204	507287	+	KOIAIB_0047	81.9	2.9e-12	-	-	-	RFAM:RF00368
contig_1	ncRNA	508585	508662	+	KOIAIB_0048	79.9	6.3e-12	-	-	-	RFAM:RF02564
contig_1	ncRNA	508585	508662	-	KOIAIB_0049	63.6	6.0e-09	-	-	-	RFAM:RF02564
contig_1	ncRNA	508686	508763	+	KOIAIB_0050	89.4	1.2e-13	-	-	-	RFAM:RF02564
contig_1	ncRNA	508686	508763	-	KOIAIB_0051	62.9	7.8e-09	-	-	-	RFAM:RF02564
contig_1	ncRNA	543188	543254	+	KOIAIB_0052	87.7	2.9e-13	-	-	-	RFAM:RF02068
contig_1	tRNA	564723	564799	+	KOIAIB_0053	86.6	-	-	-	-	-
contig_1	ncRNA	581856	582054	+	KOIAIB_0054	227.9	1.4e-29	-	-	-	RFAM:RF02111
contig_1	tRNA	586007	586101	+	KOIAIB_0055	31.7	-	-	-	-	-
contig_1	ncRNA	607689	607844	+	KOIAIB_0056	84.5	2.1e-13	-	-	-	RFAM:RF01794
contig_1	ncRNA	610138	610179	-	KOIAIB_0057	40.6	5.7e-05	-	-	-	RFAM:RF02751
contig_1	ncRNA-region	644013	644121	-	-	124.8	2.9e-21	-	-	-	RFAM:RF01771
contig_1	ncRNA-region	657122	657549	+	-	122.0	3.8e-14	-	-	-	RFAM:RF01766
contig_1	ncRNA	686681	686843	-	KOIAIB_0058	174.8	3.8e-31	-	-	-	RFAM:RF00369
contig_1	tRNA	696430	696504	-	KOIAIB_0059	70.8	-	-	-	-	-
contig_1	tRNA	696542	696616	-	KOIAIB_0060	70.8	-	-	-	-	-
contig_1	tRNA	696664	696740	-	KOIAIB_0061	84.4	-	-	-	-	-
contig_1	tRNA	696756	696830	-	KOIAIB_0062	70.4	-	-	-	-	-
contig_1	tRNA	696865	696939	-	KOIAIB_0063	70.4	-	-	-	-	-
contig_1	tRNA	696963	697047	-	KOIAIB_0064	74.1	-	-	-	-	-
contig_1	tRNA	697057	697133	-	KOIAIB_0065	84.4	-	-	-	-	-
contig_1	ncRNA	699459	699501	+	KOIAIB_0066	41.2	4.5e-05	-	-	-	RFAM:RF02751
contig_1	ncRNA	740988	741030	+	KOIAIB_0067	75.2	1.7e-11	-	-	-	RFAM:RF02751
contig_1	ncRNA	758412	758482	-	KOIAIB_0068	88.4	1.8e-13	-	-	-	RFAM:RF02564
contig_1	ncRNA	762854	762925	+	KOIAIB_0069	59.7	3.1e-08	-	-	-	RFAM:RF02564
contig_1	ncRNA-region	779489	779627	+	-	142.3	1.8e-24	-	-	-	RFAM:RF02782
contig_1	tRNA	780554	780629	+	KOIAIB_0070	94.9	-	-	-	-	-
contig_1	tRNA	780765	780840	+	KOIAIB_0071	84.6	-	-	-	-	-
contig_1	tRNA	780843	780918	+	KOIAIB_0072	94.9	-	-	-	-	-
contig_1	tRNA	781068	781143	+	KOIAIB_0073	84.6	-	-	-	-	-
contig_1	tRNA	781147	781222	+	KOIAIB_0074	94.9	-	-	-	-	-
contig_1	tRNA	781369	781444	+	KOIAIB_0075	94.9	-	-	-	-	-
contig_1	tRNA	781577	781652	+	KOIAIB_0076	94.9	-	-	-	-	-
contig_1	ncRNA-region	781683	781808	+	-	46.4	5.9e-06	-	-	-	RFAM:RF00391
contig_1	ncRNA	805859	805929	+	KOIAIB_0077	60.8	1.9e-08	-	-	-	RFAM:RF02564
contig_1	ncRNA	815606	815647	-	KOIAIB_0078	43.6	1.6e-05	-	-	-	RFAM:RF02751
contig_1	ncRNA-region	816912	817056	+	-	103.7	5.4e-18	-	-	-	RFAM:RF01055
contig_1	ncRNA	832310	832352	-	KOIAIB_0079	43.4	1.7e-05	-	-	-	RFAM:RF02751
contig_1	ncRNA	837588	837658	-	KOIAIB_0080	78.4	1.2e-11	-	-	-	RFAM:RF02564
contig_1	sorf	850332	850397	+	KOIAIB_0081	51.6	3.5e-15	1.0	1.0	1.0	UniRef:UniRef50_P0DPN6
contig_1	ncRNA	857637	857679	-	KOIAIB_0082	41.7	3.6e-05	-	-	-	RFAM:RF02751
contig_1	ncRNA	887976	888054	-	KOIAIB_0083	105.4	5.7e-19	-	-	-	RFAM:RF00110
contig_1	ncRNA	899730	899772	+	KOIAIB_0084	42.3	2.7e-05	-	-	-	RFAM:RF02751
contig_1	ncRNA	900752	900832	+	KOIAIB_0085	75.6	3.9e-11	-	-	-	RFAM:RF02564
contig_1	tRNA	925884	925971	-	KOIAIB_0086	76.9	-	-	-	-	-
contig_1	ncRNA	940734	940868	-	KOIAIB_0087	140.2	7.2e-21	-	-	-	RFAM:RF02084
contig_1	ncRNA	984395	984437	+	KOIAIB_0088	53.1	2.5e-07	-	-	-	RFAM:RF02751
contig_1	ncRNA-region	1004700	1004773	+	-	98.0	3.8e-18	-	-	-	RFAM:RF02373
contig_1	tRNA	1031625	1031712	-	KOIAIB_0089	83.5	-	-	-	-	-
contig_1	ncRNA-region	1051305	1051727	+	-	158.2	5.7e-18	-	-	-	RFAM:RF01766
contig_1	ncRNA	1062410	1062488	-	KOIAIB_0090	68.9	6.3e-10	-	-	-	RFAM:RF02564
contig_1	ncRNA	1085858	1086051	-	KOIAIB_0091	189.2	9.7e-31	-	-	-	RFAM:RF02855
contig_1	tRNA	1097565	1097652	-	KOIAIB_0092	76.9	-	-	-	-	-
contig_1	ncRNA	1103252	1103343	-	KOIAIB_0093	119.8	2.7e-21	-	-	-	RFAM:RF02752
contig_1	ncRNA	1113438	1113480	-	KOIAIB_0094	48.0	2.3e-06	-	-	-	RFAM:RF02751
contig_1	ncRNA-region	1122608	1122657	-	-	68.8	3.1e-10	-	-	-	RFAM:RF02372
contig_1	ncRNA-region	1144392	1144728	-	-	260.1	5.0e-35	-	-	-	RFAM:RF00040
contig_1	ncRNA	1146589	1146757	+	KOIAIB_0095	210.6	3.6e-33	-	-	-	RFAM:RF00077
contig_1	ncRNA	1230629	1230707	+	KOIAIB_0096	112.0	1.2e-19	-	-	-	RFAM:RF00119
contig_1	ncRNA	1269323	1269388	+	KOIAIB_0097	86.4	1.2e-17	-	-	-	RFAM:RF01813
contig_1	ncRNA	1269858	1269923	+	KOIAIB_0098	91.5	7.6e-19	-	-	-	RFAM:RF01813
contig_1	ncRNA	1270393	1270458	+	KOIAIB_0099	91.9	5.8e-19	-	-	-	RFAM:RF01813
contig_1	ncRNA-region	1286710	1286841	-	-	134.2	7.6e-21	-	-	-	RFAM:RF00391
contig_1	ncRNA-region	1286888	1287019	-	-	133.9	8.6e-21	-	-	-	RFAM:RF00391
contig_1	ncRNA-region	1287066	1287197	-	-	137.6	2.0e-21	-	-	-	RFAM:RF00391
contig_1	tRNA	1287244	1287328	-	KOIAIB_0100	72.2	-	-	-	-	-
contig_1	ncRNA-region	1287363	1287494	-	-	133.0	1.2e-20	-	-	-	RFAM:RF00391
contig_1	tRNA	1287538	1287622	-	KOIAIB_0101	72.2	-	-	-	-	-
contig_1	ncRNA-region	1322968	1323061	-	-	93.2	1.2e-15	-	-	-	RFAM:RF00513
contig_1	ncRNA	1335499	1335701	+	KOIAIB_0102	198.1	4.6e-27	-	-	-	RFAM:RF02079
contig_1	ncRNA	1405656	1405751	-	KOIAIB_0103	118.4	2.7e-21	-	-	-	RFAM:RF00115
contig_1	ncRNA	1409129	1409246	+	KOIAIB_0104	134.9	1.6e-23	-	-	-	RFAM:RF01796
contig_1	ncRNA	1413556	1413734	+	KOIAIB_0105	225.2	4.2e-38	-	-	-	RFAM:RF02694
contig_1	ncRNA	1432754	1432952	+	KOIAIB_0106	221.0	1.2e-28	-	-	-	RFAM:RF02111
contig_1	ncRNA	1437118	1437238	+	KOIAIB_0107	125.0	5.7e-21	-	-	-	RFAM:RF00121
contig_1	ncRNA	1491443	1491506	-	KOIAIB_0108	92.5	8.2e-18	-	-	-	RFAM:RF00505
contig_1	ncRNA	1492066	1492217	-	KOIAIB_0109	109.8	5.4e-18	-	-	-	RFAM:RF01794
contig_1	ncRNA-region	1547983	1548041	+	-	84.4	2.3e-13	-	-	-	RFAM:RF01989
contig_1	ncRNA	1622735	1622948	-	KOIAIB_0110	281.2	9.5e-47	-	-	-	RFAM:RF01407
contig_1	ncRNA	1634344	1634542	-	KOIAIB_0111	221.0	1.2e-28	-	-	-	RFAM:RF02111
contig_1	sorf	1638188	1638253	-	KOIAIB_0112	46.2	4.8e-13	1.0	1.0	1.0	UniRef:UniRef50_P0DPO9
contig_1	ncRNA-region	1638428	1638813	-	-	112.0	4.2e-13	-	-	-	RFAM:RF01766
contig_1	ncRNA-region	1641297	1641715	-	-	158.1	5.9e-18	-	-	-	RFAM:RF01766
contig_1	ncRNA	1649383	1649434	+	KOIAIB_0113	76.8	4.3e-14	-	-	-	RFAM:RF00039
contig_1	sorf	1671777	1671860	+	KOIAIB_0114	48.9	5.6e-14	1.0	1.0	1.0	UniRef:UniRef50_A5A617
contig_1	ncRNA	1737453	1737843	-	KOIAIB_0115	396.6	2.5e-44	-	-	-	RFAM:RF02081
contig_1	tRNA	1746435	1746511	+	KOIAIB_0116	82.5	-	-	-	-	-
contig_1	tRNA	1746516	1746592	+	KOIAIB_0117	85.9	-	-	-	-	-
contig_1	ncRNA	1746554	1746716	-	KOIAIB_0118	112.1	6.5e-17	-	-	-	RFAM:RF02194
contig_1	ncRNA	1764708	1764768	-	KOIAIB_0119	81.4	3.5e-15	-	-	-	RFAM:RF00118
contig_1	ncRNA	1770372	1770479	+	KOIAIB_0120	118.5	1.3e-17	-	-	-	RFAM:RF00034
contig_1	ncRNA	1795153	1795311	-	KOIAIB_0121	55.7	1.5e-07	-	-	-	RFAM:RF02082
contig_1	ncRNA-region	1799152	1799276	-	-	74.6	6.2e-11	-	-	-	RFAM:RF01859
contig_1	ncRNA	1816219	1816261	+	KOIAIB_0122	55.6	8.4e-08	-	-	-	RFAM:RF02751
contig_1	ncRNA	1823365	1823407	+	KOIAIB_0123	43.0	2.0e-05	-	-	-	RFAM:RF02751
contig_1	sorf	1878874	1878948	+	KOIAIB_0124	46.2	5.6e-13	1.0	1.0	0.917	UniRef:UniRef50_A0A2S4RZ34
contig_1	ncRNA	1888017	1888102	-	KOIAIB_0125	115.3	3.3e-20	-	-	-	RFAM:RF00370
contig_1	ncRNA-region	1907185	1907611	-	-	126.8	1.2e-14	-	-	-	RFAM:RF01766
contig_1	ncRNA	1923100	1923244	+	KOIAIB_0126	175.2	8.6e-27	-	-	-	RFAM:RF00101
contig_1	ncRNA	1923104	1923203	-	KOIAIB_0127	114.5	2.0e-18	-	-	-	RFAM:RF00111
contig_1	sorf	1946115	1946180	-	KOIAIB_0128	41.6	3.2e-11	1.0	1.0	1.0	UniRef:UniRef50_C1P604
contig_1	ncRNA	1954463	1954505	+	KOIAIB_0129	45.6	6.6e-06	-	-	-	RFAM:RF02751
contig_1	ncRNA	1958441	1958748	-	KOIAIB_0130	381.9	2.6e-54	-	-	-	RFAM:RF02654
contig_1	ncRNA	1972739	1972816	+	KOIAIB_0131	111.7	7.4e-19	-	-	-	RFAM:RF00116
contig_1	tRNA	1991815	1991901	-	KOIAIB_0132	71.7	-	-	-	-	-
contig_1	tRNA	1991914	1991987	-	KOIAIB_0133	63.0	-	-	-	-	-
contig_1	tRNA	1992042	1992117	-	KOIAIB_0134	88.4	-	-	-	-	-
contig_1	ncRNA	2002004	2002045	+	KOIAIB_0135	43.0	2.0e-05	-	-	-	RFAM:RF02751
contig_1	ncRNA	2025227	2025313	-	KOIAIB_0136	102.5	1.4e-18	-	-	-	RFAM:RF00014
contig_1	ncRNA	2033649	2033738	+	KOIAIB_0137	97.8	1.4e-13	-	-	-	RFAM:RF01401
contig_1	tRNA	2043468	2043557	-	KOIAIB_0138	90.4	-	-	-	-	-
contig_1	tRNA	2044549	2044624	+	KOIAIB_0139	79.7	-	-	-	-	-
contig_1	tRNA	2058027	2058102	-	KOIAIB_0140	79.7	-	-	-	-	-
contig_1	tRNA	2059851	2059926	+	KOIAIB_0141	79.7	-	-	-	-	-
contig_1	tRNA	2062260	2062335	+	KOIAIB_0142	79.7	-	-	-	-	-
contig_1	ncRNA	2071315	2071518	+	KOIAIB_0143	252.7	1.5e-33	-	-	-	RFAM:RF00124
contig_1	sorf	2087052	2087114	-	KOIAIB_0144	44.7	1.9e-12	1.0	1.0	1.0	UniRef:UniRef50_C1P606
contig_1	ncRNA	2087209	2087283	-	KOIAIB_0145	68.3	3.0e-09	-	-	-	RFAM:RF02074
contig_1	ncRNA-region	2090022	2090145	+	-	131.7	5.7e-21	-	-	-	RFAM:RF00514
contig_1	ncRNA-region	2113137	2113175	-	-	60.1	1.4e-12	-	-	-	RFAM:RF01707
contig_1	ncRNA	2118524	2118594	+	KOIAIB_0146	73.0	1.2e-10	-	-	-	RFAM:RF02564
contig_1	ncRNA-region	2122984	2123033	-	-	76.7	1.1e-13	-	-	-	RFAM:RF02929
contig_1	ncRNA-region	2137422	2137460	-	-	57.4	5.7e-12	-	-	-	RFAM:RF01707
contig_1	ncRNA	2153275	2153423	+	KOIAIB_0147	149.6	1.6e-24	-	-	-	RFAM:RF00113
contig_1	sorf	2153349	2153408	-	KOIAIB_0148	31.6	2.7e-07	1.0	1.0	1.0	UniRef:UniRef50_C1P607
contig_1	ncRNA	2153610	2153752	+	KOIAIB_0149	142.1	3.5e-23	-	-	-	RFAM:RF00113
contig_1	ncRNA	2167112	2167197	+	KOIAIB_0150	100.8	1.3e-15	-	-	-	RFAM:RF00112
contig_1	ncRNA	2177411	2177481	-	KOIAIB_0151	64.5	4.0e-09	-	-	-	RFAM:RF02564
contig_1	ncRNA-region	2185336	2185432	-	-	71.1	1.6e-11	-	-	-	RFAM:RF00059
contig_1	ncRNA	2204409	2204484	+	KOIAIB_0152	100.0	4.3e-17	-	-	-	RFAM:RF02083
contig_1	ncRNA-region	2224875	2224955	-	-	72.9	5.1e-13	-	-	-	RFAM:RF03039
contig_1	ncRNA	2236603	2236680	-	KOIAIB_0153	88.3	1.9e-13	-	-	-	RFAM:RF02564
contig_1	ncRNA-region	2282470	2282495	+	-	47.0	1.9e-08	-	-	-	RFAM:RF03131
contig_1	tRNA	2286211	2286287	+	KOIAIB_0154	67.3	-	-	-	-	-
contig_1	ncRNA	2304420	2304503	+	KOIAIB_0155	63.8	5.4e-09	-	-	-	RFAM:RF02564
contig_1	ncRNA	2304533	2304616	+	KOIAIB_0156	63.8	5.4e-09	-	-	-	RFAM:RF02564
contig_1	ncRNA	2304646	2304729	+	KOIAIB_0157	76.1	3.1e-11	-	-	-	RFAM:RF02564
contig_1	ncRNA	2304759	2304842	+	KOIAIB_0158	74.2	6.9e-11	-	-	-	RFAM:RF02564
contig_1	ncRNA	2304872	2304955	+	KOIAIB_0159	76.1	3.1e-11	-	-	-	RFAM:RF02564
contig_1	ncRNA	2304985	2305067	+	KOIAIB_0160	61.9	1.2e-08	-	-	-	RFAM:RF02564
contig_1	ncRNA	2313083	2313176	+	KOIAIB_0161	114.5	3.1e-18	-	-	-	RFAM:RF00033
contig_1	ncRNA	2316837	2316913	-	KOIAIB_0162	80.5	5.0e-12	-	-	-	RFAM:RF02564
contig_1	ncRNA	2316951	2317027	-	KOIAIB_0163	77.6	1.7e-11	-	-	-	RFAM:RF02564
contig_1	ncRNA	2347207	2347277	-	KOIAIB_0164	76.5	2.7e-11	-	-	-	RFAM:RF02564
contig_1	ncRNA-region	2400173	2400215	-	-	50.3	9.7e-08	-	-	-	RFAM:RF01748
contig_1	tRNA	2466309	2466383	+	KOIAIB_0165	62.5	-	-	-	-	-
contig_1	tRNA	2518041	2518116	-	KOIAIB_0166	75.0	-	-	-	-	-
contig_1	tRNA	2518156	2518231	-	KOIAIB_0167	75.0	-	-	-	-	-
contig_1	tRNA	2520931	2521006	+	KOIAIB_0168	84.6	-	-	-	-	-
contig_1	tRNA	2521051	2521126	+	KOIAIB_0169	84.6	-	-	-	-	-
contig_1	tRNA	2521173	2521248	+	KOIAIB_0170	84.6	-	-	-	-	-
contig_1	tRNA	2521253	2521328	+	KOIAIB_0171	94.9	-	-	-	-	-
contig_1	ncRNA-region	2521359	2521484	+	-	47.0	4.7e-06	-	-	-	RFAM:RF00391
contig_1	ncRNA	2538569	2538611	+	KOIAIB_0172	41.0	4.8e-05	-	-	-	RFAM:RF02751
contig_1	ncRNA	2568188	2568269	-	KOIAIB_0173	71.8	1.9e-10	-	-	-	RFAM:RF02564
contig_1	sorf	2590807	2590866	-	KOIAIB_0174	40.8	5.9e-11	1.0	1.0	0.947	UniRef:UniRef50_A0A6L6IIE5
contig_1	ncRNA	2592981	2593057	+	KOIAIB_0175	92.8	2.8e-14	-	-	-	RFAM:RF02564
contig_1	ncRNA	2592981	2593057	-	KOIAIB_0176	60.6	2.1e-08	-	-	-	RFAM:RF02564
contig_1	ncRNA	2640595	2640686	-	KOIAIB_0177	116.7	2.4e-22	-	-	-	RFAM:RF00371
contig_1	ncRNA	2653515	2653723	+	KOIAIB_0178	261.4	2.3e-36	-	-	-	RFAM:RF00125
contig_1	ncRNA	2653855	2654158	+	KOIAIB_0179	315.0	5.1e-43	-	-	-	RFAM:RF00126
contig_1	ncRNA-region	2661533	2661642	-	-	138.1	4.1e-27	-	-	-	RFAM:RF01517
contig_1	ncRNA	2662359	2662430	-	KOIAIB_0180	72.0	1.8e-10	-	-	-	RFAM:RF02564
contig_1	ncRNA	2662450	2662521	-	KOIAIB_0181	72.0	1.8e-10	-	-	-	RFAM:RF02564
contig_1	ncRNA	2691155	2691339	-	KOIAIB_0182	56.2	9.2e-08	-	-	-	RFAM:RF00083
contig_1	ncRNA	2691193	2691340	-	KOIAIB_0183	146.0	1.1e-26	-	-	-	RFAM:RF00128
contig_1	ncRNA	2700520	2700596	+	KOIAIB_0184	106.9	2.8e-19	-	-	-	RFAM:RF02495
contig_1	ncRNA-region	2704009	2704223	-	-	258.9	6.3e-40	-	-	-	RFAM:RF00552
contig_1	ncRNA	2707006	2707837	+	KOIAIB_0185	505.6	2.5e-45	-	-	-	RFAM:RF02746
contig_1	ncRNA	2714304	2714346	-	KOIAIB_0186	50.0	9.7e-07	-	-	-	RFAM:RF02751
contig_1	rRNA	2726071	2726186	-	KOIAIB_0187	92.6	2.4e-15	-	-	-	RFAM:RF00001
contig_1	rRNA	2726281	2729184	-	KOIAIB_0188	2878.5	5.1e-06	-	-	-	RFAM:RF02541
contig_1	ncRNA	2729192	2729291	-	KOIAIB_0189	105.3	7.8e-18	-	-	-	RFAM:RF01830
contig_1	tRNA	2729369	2729444	-	KOIAIB_0190	66.6	-	-	-	-	-
contig_1	rRNA	2729616	2731157	-	KOIAIB_0191	1579.1	7.1e-48	-	-	-	RFAM:RF00177
contig_1	ncRNA	2734154	2734292	-	KOIAIB_0192	125.4	7.1e-23	-	-	-	RFAM:RF02768
contig_1	ncRNA-region	2737598	2737723	+	-	132.4	1.4e-21	-	-	-	RFAM:RF01859
contig_1	tRNA	2785762	2785837	-	KOIAIB_0194	84.7	-	-	-	-	-
contig_1	ncRNA	2808134	2808211	+	KOIAIB_0195	72.3	1.6e-10	-	-	-	RFAM:RF02564
contig_1	ncRNA	2814802	2814873	+	KOIAIB_0196	83.9	2.2e-14	-	-	-	RFAM:RF00078
contig_1	tRNA	2817784	2817860	-	KOIAIB_0197	85.1	-	-	-	-	-
contig_1	tRNA	2818059	2818135	-	KOIAIB_0198	85.1	-	-	-	-	-
contig_1	tRNA	2818198	2818274	-	KOIAIB_0199	85.1	-	-	-	-	-
contig_1	tRNA	2818473	2818549	-	KOIAIB_0200	85.1	-	-	-	-	-
contig_1	tRNA	2818553	2818645	-	KOIAIB_0201	83.4	-	-	-	-	-
contig_1	ncRNA	2887299	2887455	-	KOIAIB_0202	103.8	6.6e-17	-	-	-	RFAM:RF01794
contig_1	ncRNA	2924156	2924515	-	KOIAIB_0203	380.5	1.9e-41	-	-	-	RFAM:RF00018
contig_1	ncRNA	2942696	2942901	+	KOIAIB_0204	199.0	1.7e-26	-	-	-	RFAM:RF00022
contig_1	ncRNA	2945917	2945959	-	KOIAIB_0205	46.6	4.3e-06	-	-	-	RFAM:RF02751
contig_1	tRNA	2947387	2947463	+	KOIAIB_0206	77.5	-	-	-	-	-
contig_1	tRNA	2947497	2947573	+	KOIAIB_0207	77.5	-	-	-	-	-
contig_1	tRNA	2947607	2947683	+	KOIAIB_0208	77.5	-	-	-	-	-
contig_1	ncRNA	2976102	2976189	-	KOIAIB_0209	96.7	3.8e-17	-	-	-	RFAM:RF00079
contig_1	ncRNA	2976304	2976385	-	KOIAIB_0210	86.2	5.8e-15	-	-	-	RFAM:RF00079
contig_1	tRNA	2998984	2999057	-	KOIAIB_0211	81.1	-	-	-	-	-
contig_1	sorf	3032939	3033010	-	KOIAIB_0212	50.8	7.8e-15	1.0	1.0	1.0	UniRef:UniRef50_P0DPP4
contig_1	ncRNA	3042395	3042472	+	KOIAIB_0213	75.0	4.9e-11	-	-	-	RFAM:RF02564
contig_1	ncRNA	3055983	3056166	+	KOIAIB_0214	139.9	1.1e-25	-	-	-	RFAM:RF00013
contig_1	ncRNA	3056815	3056965	+	KOIAIB_0215	133.9	1.0e-21	-	-	-	RFAM:RF00113
contig_1	ncRNA	3070037	3070079	+	KOIAIB_0216	47.4	3.0e-06	-	-	-	RFAM:RF02751
contig_1	ncRNA	3098464	3098534	-	KOIAIB_0217	61.0	1.8e-08	-	-	-	RFAM:RF02564
contig_1	tRNA	3110366	3110441	+	KOIAIB_0218	75.3	-	-	-	-	-
contig_1	ncRNA	3121358	3121579	+	KOIAIB_0219	298.3	1.9e-42	-	-	-	RFAM:RF00117
contig_1	ncRNA	3139624	3139700	+	KOIAIB_0220	92.6	3.1e-14	-	-	-	RFAM:RF02564
