orf	ec	mnxr	n_ec	n_mnxr
ECDH10B_0078	3.5.1.108	MNXR165086;MNXR192044;MNXR192046;MNXR193761;MNXR193765;MNXR193960;MNXR195282;MNXR195367;MNXR199080;MNXR199335;MNXR199894;MNXR200993	1	12
ECDH10B_0080	7.4.2.8	MNXR115578;MNXR200701;MNXR200704;MNXR200743	1	4
ECDH10B_0081	3.6.1.55	MNXR101930;MNXR114405;MNXR118566;MNXR145771;MNXR145803;MNXR172392;MNXR188495;MNXR188543;MNXR190557;MNXR190682;MNXR196284;MNXR196285;MNXR196286;MNXR196611;MNXR196743;MNXR95859;MNXR97173;MNXR97203;MNXR97807;MNXR97809	1	20
ECDH10B_0084	2.7.1.24	MNXR131703;MNXR190944	1	2
ECDH10B_0085	1.7.1.7	MNXR188145	1	1
ECDH10B_0089	2.4.2.19	MNXR188515	1	1
ECDH10B_0090	3.5.1.28	MNXR108665;MNXR118592;MNXR120516;MNXR134413;MNXR144137;MNXR174484;MNXR196485;MNXR199427;MNXR95797	1	9
ECDH10B_0094	1.2.4.1	MNXR102428;MNXR107129;MNXR108063;MNXR117600;MNXR123105;MNXR145925;MNXR145926;MNXR145927;MNXR145928;MNXR166005;MNXR188625;MNXR194756;MNXR195067;MNXR195068;MNXR195069;MNXR195070	1	16
ECDH10B_0095	2.3.1.12	MNXR107584;MNXR123104;MNXR145929;MNXR165845;MNXR188625;MNXR189782	1	6
ECDH10B_0096	1.8.1.4	MNXR100066;MNXR111220;MNXR115001;MNXR121600;MNXR122011;MNXR122405;MNXR123103;MNXR131138;MNXR131566;MNXR132504;MNXR132505;MNXR132506;MNXR132507;MNXR133735;MNXR133736;MNXR133737;MNXR133738;MNXR144966;MNXR144967;MNXR144968;MNXR144969;MNXR150329;MNXR150330;MNXR165699;MNXR172872;MNXR172873;MNXR173530;MNXR173981;MNXR176990;MNXR176991;MNXR179972;MNXR182403;MNXR182427;MNXR182428;MNXR182429;MNXR182430;MNXR182431;MNXR182504;MNXR188141;MNXR188585;MNXR188587;MNXR188625;MNXR190426;MNXR190634;MNXR194765;MNXR194766;MNXR194767;MNXR195067;MNXR197657;MNXR197658;MNXR198501;MNXR97602	1	52
ECDH10B_0098	4.2.1.3;4.2.1.99	MNXR145622;MNXR154367;MNXR173177;MNXR173260;MNXR191427;MNXR191428;MNXR191571;MNXR191572;MNXR195356	2	9
ECDH10B_0100	4.1.1.50	MNXR188327;MNXR198598;MNXR198599	1	3
ECDH10B_0101	2.5.1.16;2.5.1.22;2.5.1.79	MNXR112950;MNXR172102;MNXR190686;MNXR190692;MNXR190714	3	5
ECDH10B_0103	1.16.3.4	MNXR96948	1	1
ECDH10B_0104	1.1.5.2	MNXR123287;MNXR143584;MNXR144598;MNXR166192;MNXR173502;MNXR173503;MNXR175471;MNXR181994;MNXR181995;MNXR181996;MNXR182580;MNXR182581;MNXR200525	1	13
ECDH10B_0105	2.4.2.8	MNXR111796;MNXR145113;MNXR145269;MNXR146533;MNXR146534;MNXR189022;MNXR190476;MNXR190607	1	8
ECDH10B_0106	4.2.1.1	MNXR100482	1	1
ECDH10B_0111	4.1.1.11	MNXR96077	1	1
ECDH10B_0113	6.3.2.1	MNXR102345;MNXR133310;MNXR133453;MNXR133454;MNXR133455;MNXR133456;MNXR133457;MNXR133458;MNXR133459;MNXR133460;MNXR133461;MNXR133462	1	12
ECDH10B_0114	2.1.2.11	MNXR115230;MNXR119508;MNXR172483;MNXR172484;MNXR172485;MNXR172486;MNXR172487;MNXR172488;MNXR172489;MNXR172490;MNXR172491;MNXR188445;MNXR94792	1	13
ECDH10B_0122	2.7.6.3	MNXR119575;MNXR145237;MNXR180472;MNXR194867	1	4
ECDH10B_0123	2.7.7.19	MNXR135052;MNXR165457	1	2
ECDH10B_0127	3.1.4.58	MNXR119735;MNXR163488;MNXR165492;MNXR185138	1	4
ECDH10B_0128	3.6.4.13	MNXR102042;MNXR132663;MNXR153054;MNXR153055;MNXR188499;MNXR188537;MNXR195117	1	7
ECDH10B_0129	2.4.99.28;3.4.16.4	MNXR115453;MNXR120266;MNXR120273;MNXR129629;MNXR129641;MNXR129668;MNXR131538;MNXR131672;MNXR132042;MNXR132044;MNXR133867;MNXR141472;MNXR141599;MNXR144340;MNXR145562;MNXR145563;MNXR150441;MNXR152192;MNXR152193;MNXR152194;MNXR152195;MNXR152196;MNXR152197;MNXR152198;MNXR152199;MNXR166295;MNXR175900;MNXR175978;MNXR175997;MNXR184265;MNXR186459;MNXR196580;MNXR196600;MNXR199405;MNXR199411	2	35
ECDH10B_0131	7.2.2.16	MNXR115652	1	1
ECDH10B_0134	5.4.3.8	MNXR99850	1	1
ECDH10B_0139	3.2.2.9	MNXR152915;MNXR152916;MNXR191995;MNXR191996;MNXR192382	1	5
ECDH10B_0140	3.1.5.1	MNXR102057;MNXR188551	1	2
ECDH10B_0141	3.4.21.107	MNXR183533;MNXR198756	1	2
ECDH10B_0145	2.3.1.117	MNXR188900	1	1
ECDH10B_0146	2.7.7.59	MNXR109089;MNXR124093;MNXR130082;MNXR130094;MNXR130097;MNXR165615;MNXR178527	1	7
ECDH10B_0147	3.4.11.18	MNXR115431;MNXR121225;MNXR121226;MNXR121227;MNXR121228;MNXR121229;MNXR121230;MNXR132922;MNXR132923;MNXR174407	1	10
ECDH10B_0151	2.7.4.22	MNXR132174;MNXR132175;MNXR188974	1	3
ECDH10B_0153	1.1.1.267	MNXR133292;MNXR133293;MNXR133294;MNXR153413;MNXR180505	1	5
ECDH10B_0154	2.5.1.31	MNXR112247;MNXR131106;MNXR144357;MNXR178138;MNXR195401;MNXR196000;MNXR196171;MNXR196173;MNXR196175;MNXR196177;MNXR196179;MNXR198828;MNXR198830;MNXR198831	1	14
ECDH10B_0155	2.7.7.41	MNXR115751;MNXR123276;MNXR132244;MNXR136216;MNXR136217;MNXR136218;MNXR136219;MNXR136220;MNXR136221;MNXR144556;MNXR147426;MNXR147427;MNXR153302;MNXR153303;MNXR153304;MNXR153305;MNXR153306;MNXR153308;MNXR153309;MNXR153310;MNXR153311;MNXR153312;MNXR153313;MNXR164879;MNXR165788;MNXR175348;MNXR177715;MNXR178120;MNXR178121;MNXR180436;MNXR180437;MNXR180439;MNXR180441;MNXR181964;MNXR189948;MNXR190200;MNXR190876;MNXR190880	1	38
ECDH10B_0159	2.3.1.191	MNXR146621;MNXR146622;MNXR146623;MNXR146624;MNXR165085;MNXR165907;MNXR170150;MNXR193760;MNXR193763;MNXR193961;MNXR195293;MNXR195366;MNXR199001;MNXR199336;MNXR199893;MNXR200679	1	16
ECDH10B_0160	4.2.1.59	MNXR115599;MNXR115600;MNXR116438;MNXR116442;MNXR117852;MNXR120239;MNXR120243;MNXR120247;MNXR120251;MNXR122848;MNXR122851;MNXR122862;MNXR122912;MNXR122928;MNXR123136;MNXR123539;MNXR145835;MNXR145836;MNXR145837;MNXR145842;MNXR145843;MNXR145844;MNXR150777;MNXR150778;MNXR152617;MNXR152618;MNXR152620;MNXR152621;MNXR152622;MNXR152623;MNXR152624;MNXR152625;MNXR152626;MNXR152627;MNXR152628;MNXR152634;MNXR152635;MNXR152636;MNXR152637;MNXR152638;MNXR152639;MNXR152640;MNXR152641;MNXR152642;MNXR165582;MNXR175211;MNXR175792;MNXR177527;MNXR177632;MNXR193263;MNXR193267;MNXR193271;MNXR193275;MNXR193279;MNXR193283;MNXR193293;MNXR193298;MNXR193303;MNXR193308;MNXR193313;MNXR193318;MNXR193323;MNXR193328;MNXR193333;MNXR193338;MNXR193343;MNXR193348;MNXR193610;MNXR197865;MNXR200182	1	70
ECDH10B_0161	2.3.1.129	MNXR146646;MNXR146647;MNXR146648;MNXR146649;MNXR165087;MNXR165636;MNXR193762;MNXR193764;MNXR199079;MNXR199334;MNXR199895;MNXR200992	1	12
ECDH10B_0162	2.4.1.182	MNXR145455;MNXR145456;MNXR165083;MNXR179123;MNXR193757;MNXR193963;MNXR199338;MNXR199891;MNXR200620;MNXR200996	1	10
ECDH10B_0163	3.1.26.4	MNXR174270	1	1
ECDH10B_0164	2.7.7.7	MNXR114332;MNXR135044;MNXR135045;MNXR135046;MNXR135047;MNXR135048;MNXR166212;MNXR173099;MNXR175412	1	9
ECDH10B_0165	2.1.3.15	MNXR123189;MNXR152741;MNXR170349	1	3
ECDH10B_0166	4.1.1.18	MNXR188327	1	1
ECDH10B_0168	6.3.4.19	MNXR113012;MNXR121606;MNXR168393;MNXR173774;MNXR176739;MNXR183944	1	6
ECDH10B_0172	3.1.1.29	MNXR115700;MNXR117572;MNXR120256;MNXR148614;MNXR148615;MNXR148616;MNXR170284;MNXR175308;MNXR178106;MNXR179989	1	10
ECDH10B_0175	6.1.1.15	MNXR116156;MNXR131824;MNXR131826;MNXR146134;MNXR146135;MNXR146136;MNXR146137;MNXR153294;MNXR153296;MNXR165659;MNXR172371;MNXR175664;MNXR183907;MNXR200408	1	14
ECDH10B_0180	7.4.2.11	MNXR101472;MNXR101489	1	2
ECDH10B_0181	3.1.3.82	MNXR191116	1	1
ECDH10B_0188	1.1.1.2;1.1.1.346	MNXR100327;MNXR101737;MNXR106702;MNXR107022;MNXR107603;MNXR107662;MNXR109407;MNXR109760;MNXR112370;MNXR114023;MNXR115960;MNXR123208;MNXR123392;MNXR124581;MNXR127869;MNXR129365;MNXR129368;MNXR129373;MNXR129376;MNXR129468;MNXR129484;MNXR129705;MNXR129713;MNXR129835;MNXR129836;MNXR130042;MNXR130045;MNXR130071;MNXR130078;MNXR130106;MNXR130107;MNXR130108;MNXR130109;MNXR130110;MNXR130250;MNXR130472;MNXR130670;MNXR130772;MNXR130773;MNXR130774;MNXR130775;MNXR131045;MNXR131060;MNXR131087;MNXR131455;MNXR131456;MNXR132190;MNXR132636;MNXR132737;MNXR132880;MNXR132890;MNXR132891;MNXR132894;MNXR132909;MNXR132924;MNXR132925;MNXR132926;MNXR132927;MNXR132928;MNXR132939;MNXR132940;MNXR133030;MNXR133031;MNXR133034;MNXR133035;MNXR133037;MNXR133039;MNXR133210;MNXR133448;MNXR133472;MNXR133476;MNXR133477;MNXR133532;MNXR133541;MNXR133561;MNXR133621;MNXR134129;MNXR138038;MNXR138039;MNXR141812;MNXR145013;MNXR145015;MNXR145250;MNXR145256;MNXR145410;MNXR146255;MNXR146763;MNXR146999;MNXR147000;MNXR147072;MNXR147585;MNXR147586;MNXR149872;MNXR149873;MNXR149874;MNXR150038;MNXR151159;MNXR153007;MNXR165769;MNXR166012;MNXR171110;MNXR175274;MNXR178213;MNXR188135;MNXR188187;MNXR191505;MNXR191939;MNXR192035;MNXR192159;MNXR195658;MNXR195659;MNXR195660;MNXR195706;MNXR196663;MNXR196664;MNXR198702;MNXR198703;MNXR199864;MNXR95710;MNXR95711;MNXR95712;MNXR95716;MNXR95717;MNXR95718;MNXR95726;MNXR95727;MNXR95728;MNXR95729;MNXR95788	2	129
ECDH10B_0193	3.1.2.6	MNXR100353;MNXR104357;MNXR106557;MNXR129706;MNXR129707;MNXR129715;MNXR129724;MNXR129731;MNXR129785;MNXR129791;MNXR129800;MNXR129807;MNXR130170;MNXR130171;MNXR148548;MNXR148549;MNXR166173;MNXR177036	1	18
ECDH10B_0195	3.1.26.4	MNXR174270	1	1
ECDH10B_0196	2.7.7.7	MNXR114332;MNXR135044;MNXR135045;MNXR135046;MNXR135047;MNXR135048;MNXR166212;MNXR173099;MNXR175412	1	9
ECDH10B_0201	3.5.1.3	MNXR105306;MNXR106485;MNXR108439;MNXR116105;MNXR129519;MNXR129525;MNXR129527;MNXR129529;MNXR129532;MNXR129533;MNXR129535;MNXR129536;MNXR129541;MNXR129543;MNXR129544;MNXR129545;MNXR129548;MNXR129549;MNXR129552;MNXR129555;MNXR129556;MNXR129558;MNXR129559;MNXR129561;MNXR129562;MNXR129563;MNXR129564;MNXR129565;MNXR129566;MNXR129567;MNXR135262;MNXR149440;MNXR149441;MNXR165484;MNXR172844	1	35
ECDH10B_0203	1.3.8.7;1.3.8.8	MNXR106510;MNXR107648;MNXR108000;MNXR116026;MNXR117128;MNXR118204;MNXR118535;MNXR118568;MNXR118590;MNXR118595;MNXR121154;MNXR121158;MNXR121163;MNXR121167;MNXR121171;MNXR130414;MNXR130415;MNXR130416;MNXR130417;MNXR130551;MNXR132626;MNXR132761;MNXR132763;MNXR132768;MNXR132781;MNXR132899;MNXR132902;MNXR132903;MNXR132904;MNXR132913;MNXR132914;MNXR132918;MNXR132920;MNXR132930;MNXR132959;MNXR132960;MNXR132961;MNXR132962;MNXR132963;MNXR132964;MNXR132965;MNXR132966;MNXR132967;MNXR132968;MNXR132969;MNXR132970;MNXR132971;MNXR134042;MNXR140693;MNXR140695;MNXR146098;MNXR147207;MNXR151494;MNXR152808;MNXR152825;MNXR165331;MNXR165332;MNXR165668;MNXR165899;MNXR182861;MNXR192172;MNXR192174;MNXR192388;MNXR192390;MNXR192392;MNXR192634;MNXR193404;MNXR193405;MNXR198278;MNXR198770;MNXR198771;MNXR199703	2	72
ECDH10B_0204	5.3.1.28	MNXR113173;MNXR151867;MNXR151868;MNXR166509	1	4
ECDH10B_0213	2.7.7.7	MNXR114332;MNXR135044;MNXR135045;MNXR135046;MNXR135047;MNXR135048;MNXR166212;MNXR173099;MNXR175412	1	9
ECDH10B_0219	3.4.13.18	MNXR100360;MNXR101011;MNXR123343;MNXR123345;MNXR123346;MNXR123347;MNXR123348;MNXR123349;MNXR123350;MNXR123351;MNXR123352;MNXR123353;MNXR131146;MNXR140947;MNXR145207;MNXR148461;MNXR151118;MNXR193882;MNXR197221;MNXR95133;MNXR95828	1	21
ECDH10B_0220	2.4.2.22	MNXR145113;MNXR189022	1	2
ECDH10B_0221	3.1.1.1	MNXR101066;MNXR101454;MNXR106614;MNXR108684;MNXR111784;MNXR111804;MNXR111806;MNXR111810;MNXR111813;MNXR116485;MNXR116508;MNXR117339;MNXR117442;MNXR117443;MNXR117638;MNXR121010;MNXR123873;MNXR125002;MNXR126701;MNXR127242;MNXR127499;MNXR128718;MNXR128738;MNXR128739;MNXR129353;MNXR129391;MNXR129817;MNXR129819;MNXR129821;MNXR129825;MNXR129827;MNXR129829;MNXR129831;MNXR129832;MNXR129833;MNXR129834;MNXR129981;MNXR130288;MNXR130289;MNXR130456;MNXR130457;MNXR130864;MNXR130865;MNXR130866;MNXR130929;MNXR131013;MNXR131027;MNXR131028;MNXR131224;MNXR131296;MNXR131297;MNXR131298;MNXR131299;MNXR131300;MNXR131301;MNXR131302;MNXR131303;MNXR131304;MNXR131305;MNXR131306;MNXR131307;MNXR131308;MNXR131309;MNXR131310;MNXR131311;MNXR131312;MNXR131313;MNXR131314;MNXR131315;MNXR131316;MNXR131317;MNXR131318;MNXR131319;MNXR131320;MNXR131321;MNXR131322;MNXR131323;MNXR131324;MNXR131325;MNXR131326;MNXR131327;MNXR131328;MNXR131329;MNXR131434;MNXR131612;MNXR131769;MNXR131802;MNXR131803;MNXR131804;MNXR131805;MNXR131806;MNXR131809;MNXR131810;MNXR132143;MNXR132144;MNXR132145;MNXR133082;MNXR133083;MNXR133627;MNXR133686;MNXR133952;MNXR133958;MNXR134043;MNXR134046;MNXR134047;MNXR134048;MNXR134052;MNXR134089;MNXR134095;MNXR134104;MNXR134105;MNXR134109;MNXR134112;MNXR134119;MNXR134123;MNXR134152;MNXR134166;MNXR134170;MNXR136729;MNXR136734;MNXR136736;MNXR144296;MNXR144373;MNXR144408;MNXR144490;MNXR147193;MNXR147637;MNXR147638;MNXR151166;MNXR151167;MNXR151168;MNXR165327;MNXR166130;MNXR172302;MNXR175342;MNXR175823;MNXR176453;MNXR190826;MNXR191369;MNXR193227	1	140
ECDH10B_0224	2.7.2.11	MNXR100277;MNXR180450	1	2
ECDH10B_0225	1.2.1.41	MNXR134428;MNXR180451;MNXR99896;MNXR99898	1	4
ECDH10B_0247	2.1.1.10	MNXR145177;MNXR145178;MNXR186097;MNXR198480;MNXR198481	1	5
ECDH10B_0248	7.2.2.7	MNXR99525	1	1
ECDH10B_0256	4.2.1.82	MNXR139050;MNXR147660;MNXR147661	1	3
ECDH10B_0258	3.2.1.37	MNXR130678;MNXR130679;MNXR130680;MNXR132624;MNXR132793;MNXR133086;MNXR133090;MNXR133093;MNXR133094;MNXR133097;MNXR133104;MNXR133106;MNXR133429;MNXR133430;MNXR133431;MNXR133443;MNXR133747;MNXR135108;MNXR136141;MNXR141733;MNXR173197;MNXR173198;MNXR173483;MNXR173484;MNXR174355;MNXR194770;MNXR194771;MNXR194772;MNXR194773;MNXR194774	1	30
ECDH10B_0261	2.1.3.3	MNXR102137;MNXR106968;MNXR122573;MNXR133633;MNXR133864;MNXR179124;MNXR180479;MNXR189113	1	8
ECDH10B_0272	1.2.99.6	MNXR106475;MNXR114966;MNXR135043;MNXR135062;MNXR146960;MNXR146961;MNXR170804;MNXR173109;MNXR173960	1	9
ECDH10B_0273	1.2.99.6	MNXR106475;MNXR114966;MNXR135043;MNXR135062;MNXR146960;MNXR146961;MNXR170804;MNXR173109;MNXR173960	1	9
ECDH10B_0274	1.2.99.6	MNXR106475;MNXR114966;MNXR135043;MNXR135062;MNXR146960;MNXR146961;MNXR170804;MNXR173109;MNXR173960	1	9
ECDH10B_0298	1.1.99.1;1.2.1.8	MNXR106794;MNXR111779;MNXR115763;MNXR121842;MNXR122979;MNXR123404;MNXR132746;MNXR134321;MNXR136758;MNXR136761;MNXR153198;MNXR189408;MNXR189409;MNXR96237;MNXR96238	2	15
ECDH10B_0299	1.2.1.8	MNXR121842;MNXR122979;MNXR96237;MNXR96238	1	4
ECDH10B_0302	3.1.4.52	MNXR150480	1	1
ECDH10B_0310	3.1.2.12	MNXR100353;MNXR104357;MNXR125002;MNXR133082;MNXR133686;MNXR133952;MNXR133958	1	7
ECDH10B_0311	1.1.1.1;1.1.1.284	MNXR100327;MNXR103538;MNXR107392;MNXR107575;MNXR107794;MNXR108795;MNXR109409;MNXR109410;MNXR109504;MNXR110642;MNXR110652;MNXR110813;MNXR110840;MNXR111836;MNXR111858;MNXR111862;MNXR112092;MNXR113578;MNXR113664;MNXR114023;MNXR114099;MNXR115960;MNXR116586;MNXR121236;MNXR121649;MNXR121802;MNXR121806;MNXR122007;MNXR123748;MNXR129422;MNXR129432;MNXR129466;MNXR129497;MNXR129713;MNXR129764;MNXR129765;MNXR130002;MNXR130003;MNXR130004;MNXR130005;MNXR130006;MNXR130008;MNXR130009;MNXR130011;MNXR130012;MNXR130013;MNXR130014;MNXR130015;MNXR130016;MNXR130017;MNXR130018;MNXR130019;MNXR130020;MNXR130021;MNXR130023;MNXR130024;MNXR130026;MNXR130027;MNXR130028;MNXR130029;MNXR130030;MNXR130031;MNXR130057;MNXR130246;MNXR130247;MNXR130248;MNXR130249;MNXR130250;MNXR130469;MNXR130779;MNXR130936;MNXR130949;MNXR130950;MNXR130951;MNXR131274;MNXR131477;MNXR131478;MNXR131479;MNXR131480;MNXR131481;MNXR131482;MNXR131484;MNXR131485;MNXR131486;MNXR131487;MNXR131488;MNXR132924;MNXR132940;MNXR133209;MNXR133210;MNXR133398;MNXR133418;MNXR133532;MNXR133643;MNXR133666;MNXR133686;MNXR133703;MNXR133713;MNXR133715;MNXR133788;MNXR133789;MNXR133796;MNXR133804;MNXR133820;MNXR133829;MNXR133834;MNXR134137;MNXR134530;MNXR134531;MNXR135412;MNXR138038;MNXR146250;MNXR146257;MNXR146810;MNXR146812;MNXR146992;MNXR146993;MNXR146994;MNXR146995;MNXR146996;MNXR146997;MNXR147581;MNXR147582;MNXR147597;MNXR147984;MNXR149871;MNXR151007;MNXR151516;MNXR151585;MNXR165427;MNXR165428;MNXR175272;MNXR176427;MNXR178102;MNXR180029;MNXR180036;MNXR189056;MNXR189229;MNXR189842;MNXR192032;MNXR193473;MNXR195553;MNXR195659;MNXR195660;MNXR197289;MNXR197321;MNXR198676;MNXR94833;MNXR95708;MNXR95709;MNXR95712;MNXR95716;MNXR95718;MNXR95719;MNXR95722;MNXR95724;MNXR95725;MNXR95726;MNXR95727;MNXR95728;MNXR95729;MNXR95731;MNXR95754;MNXR95788;MNXR96362;MNXR96365;MNXR96697;MNXR99236	2	168
ECDH10B_0322	7.6.2.7	MNXR104732	1	1
ECDH10B_0324	1.14.11.17	MNXR104730;MNXR132750;MNXR132783	1	3
ECDH10B_0325	4.2.1.24	MNXR103095	1	1
ECDH10B_0338	6.3.2.4	MNXR105087;MNXR113004;MNXR133838;MNXR133845;MNXR133847;MNXR133849;MNXR133853;MNXR133855;MNXR133858;MNXR133861;MNXR133957;MNXR134001;MNXR134002;MNXR144481;MNXR144483;MNXR190644;MNXR199923	1	17
ECDH10B_0340	3.1.3.1	MNXR101798;MNXR102525;MNXR104823;MNXR105353;MNXR122463;MNXR129729;MNXR133675;MNXR134069;MNXR145285;MNXR145997;MNXR147001;MNXR147002;MNXR147003;MNXR151842;MNXR153054;MNXR165698;MNXR175249;MNXR188533;MNXR198176;MNXR198177;MNXR198782;MNXR198839;MNXR95764;MNXR97976;MNXR99852	1	25
ECDH10B_0342	2.7.7.65	MNXR150131	1	1
ECDH10B_0343	1.5.1.2	MNXR100698;MNXR100699;MNXR102302;MNXR102303;MNXR116172;MNXR123789;MNXR130113;MNXR130201;MNXR137689;MNXR180050;MNXR180090	1	11
ECDH10B_0345	2.7.1.71	MNXR104379	1	1
